model,subspace_family,sign,control,metric,accessible,control_value,accessible_minus_control,accessible_over_control
Qwen/Qwen2.5-0.5B,random,increase,random_control,abs_delta_varentropy_mean,0.06198253790932654,0.031132671621897548,0.030849866287428994,1.990916123810279
Qwen/Qwen2.5-0.5B,random,increase,grad_orthogonal_control,abs_delta_entropy_mean,0.04447295014801979,0.0012692506289601552,0.043203699519059634,35.03874580267464
Qwen/Qwen2.5-0.5B,random,increase,grad_orthogonal_control,abs_delta_varentropy_mean,0.06198253790932654,0.011700407425275318,0.050282130484051224,5.297468340754643
Qwen/Qwen2.5-0.5B,state_pca,decrease,random_control,abs_delta_entropy_mean,0.04352844878658799,0.017353271793270106,0.02617517699331788,2.5083712918891212
Qwen/Qwen2.5-0.5B,state_pca,decrease,random_control,abs_delta_varentropy_mean,0.05864938510081086,0.028812968706541833,0.029836416394269025,2.0355203831354878
Qwen/Qwen2.5-0.5B,state_pca,decrease,grad_orthogonal_control,abs_delta_entropy_mean,0.04352844878658799,0.0013059428406476917,0.04222250594594029,33.33105204282887
Qwen/Qwen2.5-0.5B,state_pca,decrease,grad_orthogonal_control,abs_delta_varentropy_mean,0.05864938510081086,0.013164511954665788,0.04548487314614507,4.455112753346261
Qwen/Qwen2.5-0.5B,state_pca,increase,random_control,abs_delta_entropy_mean,0.0449872573285522,0.017459421488830878,0.027527835839721324,2.576675141116869
Qwen/Qwen2.5-0.5B,state_pca,increase,random_control,abs_delta_varentropy_mean,0.0625121394567917,0.030125213621980524,0.032386925834811175,2.0750770514430616
Qwen/Qwen2.5-0.5B,state_pca,increase,grad_orthogonal_control,abs_delta_entropy_mean,0.0449872573285522,0.0013622373133807726,0.04362502001517143,33.02453756526735
Qwen/Qwen2.5-0.5B,state_pca,increase,grad_orthogonal_control,abs_delta_varentropy_mean,0.0625121394567917,0.013034793902928181,0.049477345553863517,4.795790399321063
microsoft/phi-2,delta_pca,decrease,random_control,abs_delta_entropy_mean,0.04047465688672825,0.020877807794067067,0.019596849092661184,1.9386449614805872
microsoft/phi-2,delta_pca,decrease,random_control,abs_delta_varentropy_mean,0.06357595964332857,0.04751462977886748,0.016061329864461092,1.338029148900251
microsoft/phi-2,delta_pca,decrease,grad_orthogonal_control,abs_delta_entropy_mean,0.04047465688672825,0.010757272991470933,0.02971738389525732,3.762538788298781
microsoft/phi-2,delta_pca,decrease,grad_orthogonal_control,abs_delta_varentropy_mean,0.06357595964332857,0.033395956267261655,0.030180003376066918,1.9037023265494164
microsoft/phi-2,delta_pca,increase,random_control,abs_delta_entropy_mean,0.04695592220936317,0.022706764440802503,0.024249157768560667,2.067926600981802
microsoft/phi-2,delta_pca,increase,random_control,abs_delta_varentropy_mean,0.07872761984775364,0.04123153038823835,0.0374960894595153,1.9094032917636108
microsoft/phi-2,delta_pca,increase,grad_orthogonal_control,abs_delta_entropy_mean,0.04695592220936317,0.006806675639465927,0.04014924656989724,6.898510329639782
microsoft/phi-2,delta_pca,increase,grad_orthogonal_control,abs_delta_varentropy_mean,0.07872761984775364,0.03560001340321903,0.043127606444534616,2.211449163124049
microsoft/phi-2,random,decrease,random_control,abs_delta_entropy_mean,0.03693542632264704,0.015394166552169828,0.021541259770477213,2.3993131552445717
microsoft/phi-2,random,decrease,random_control,abs_delta_varentropy_mean,0.05551227534359779,0.029177459025595178,0.02633481631800261,1.9025740142382195
microsoft/phi-2,random,decrease,grad_orthogonal_control,abs_delta_entropy_mean,0.03693542632264704,0.008092128001921571,0.02884329832072547,4.564365061189873
microsoft/phi-2,random,decrease,grad_orthogonal_control,abs_delta_varentropy_mean,0.05551227534359779,0.040983937458120616,0.014528337885477173,1.3544885822725778
microsoft/phi-2,random,increase,random_control,abs_delta_entropy_mean,0.04886796344582494,0.018185639992116875,0.030682323453708065,2.687173146889978
microsoft/phi-2,random,increase,random_control,abs_delta_varentropy_mean,0.08464214698490904,0.03954169736921282,0.045100449615696224,2.140579505087494
microsoft/phi-2,random,increase,grad_orthogonal_control,abs_delta_entropy_mean,0.04886796344582494,0.007463891392089607,0.041404072053735336,6.547250070870038
microsoft/phi-2,random,increase,grad_orthogonal_control,abs_delta_varentropy_mean,0.08464214698490904,0.02607466288520702,0.05856748409970203,3.2461454001359
microsoft/phi-2,state_pca,decrease,random_control,abs_delta_entropy_mean,0.041413633371633715,0.02470267890567738,0.016710954465956336,1.6764834911130098
microsoft/phi-2,state_pca,decrease,random_control,abs_delta_varentropy_mean,0.06687841784527168,0.05224676528574996,0.014631652559521723,1.2800489653186709
microsoft/phi-2,state_pca,decrease,grad_orthogonal_control,abs_delta_entropy_mean,0.041413633371633715,0.005058963213268054,0.03635467015836566,8.186189862582694
microsoft/phi-2,state_pca,decrease,grad_orthogonal_control,abs_delta_varentropy_mean,0.06687841784527168,0.019276618650748697,0.04760179919452298,3.4694060746319817
microsoft/phi-2,state_pca,increase,random_control,abs_delta_entropy_mean,0.04678987606971972,0.024161760298346532,0.022628115771373185,1.9365259605245608
microsoft/phi-2,state_pca,increase,random_control,abs_delta_varentropy_mean,0.07913223641699973,0.04938396283465188,0.029748273582347856,1.6023873313276107
microsoft/phi-2,state_pca,increase,grad_orthogonal_control,abs_delta_entropy_mean,0.04678987606971972,0.004980015815540009,0.04180986025417971,9.39552760529658
microsoft/phi-2,state_pca,increase,grad_orthogonal_control,abs_delta_varentropy_mean,0.07913223641699973,0.024641498443030783,0.05449073797396895,3.211340276239583
