outcome_group,method,eps,n,answer_preserved_rate,correct_after_rate,confidence_delta,wrong_confidence_reduced_rate,correct_confidence_increased_rate,overcorrection_rate,semantic_drift_proxy_mean,gold_probability_delta
correct_low,standard_delta_pca,0.05,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,standard_delta_pca,0.1,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,standard_delta_pca,0.2,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,standard_delta_pca,0.4,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,standard_delta_pca,0.8,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,temperature_1.25,0.0,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,temperature_1.5,0.0,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,temperature_2,0.0,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,wrong_logit_gradient_normed,0.025,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,wrong_logit_gradient_normed,0.05,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,wrong_logit_gradient_normed,0.1,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,wrong_logit_gradient_normed,0.2,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,wrong_logit_gradient_normed,0.4,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_low,wrong_logit_gradient_normed,0.8,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,accessible_rho,0.025,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,accessible_rho,0.05,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,accessible_rho,0.1,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,accessible_rho,0.2,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,accessible_rho,0.4,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,accessible_rho,0.8,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,low_rho,0.025,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,low_rho,0.05,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,low_rho,0.1,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,low_rho,0.2,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,low_rho,0.4,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,low_rho,0.8,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,projected_gradient,0.025,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,projected_gradient,0.05,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,projected_gradient,0.1,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,projected_gradient,0.2,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,projected_gradient,0.4,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,projected_gradient,0.8,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,random_activation,0.025,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,random_activation,0.05,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,random_activation,0.1,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,random_activation,0.2,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,random_activation,0.4,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,random_activation,0.8,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,standard_delta_pca,0.025,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,standard_delta_pca,0.05,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,standard_delta_pca,0.1,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,standard_delta_pca,0.2,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,standard_delta_pca,0.4,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,standard_delta_pca,0.8,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,temperature_1.25,0.0,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,temperature_1.5,0.0,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,temperature_2,0.0,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,wrong_logit_gradient_normed,0.025,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,wrong_logit_gradient_normed,0.05,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,wrong_logit_gradient_normed,0.1,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,wrong_logit_gradient_normed,0.2,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,wrong_logit_gradient_normed,0.4,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrong_low,wrong_logit_gradient_normed,0.8,308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
