method,eps,drift_ci_low,drift_median,drift_ci_high,reduction_ci_low,reduction_median,reduction_ci_high,reduced_rate_ci_low,reduced_rate_median,reduced_rate_ci_high
projected_gradient,0.025,7.922864784734516e-06,8.480325404227462e-06,9.257260895154935e-06,0.0015804807024847292,0.0016783795923474454,0.0017999815009942916,0.6375838926174496,0.674496644295302,0.7114093959731543
projected_gradient,0.05,3.003778780493055e-05,3.237707696381677e-05,3.5090138760604404e-05,0.0031788720302665468,0.0033857082812458732,0.0036403493065301066,0.7616610738255033,0.7986577181208053,0.8356543624161074
projected_gradient,0.1,0.00012364538901108262,0.0001314473556713088,0.00014052321394666551,0.006594951992025791,0.006990653436918105,0.007439079284764287,0.9429530201342282,0.9697986577181208,0.9865771812080537
projected_gradient,0.2,0.0005220846948627921,0.0005501403755989677,0.0005847259422255257,0.013993215347253774,0.014747941697762768,0.015705157261052056,1.0,1.0,1.0
projected_gradient,0.4,0.0023185341939242652,0.0024451751948662906,0.002595089671369928,0.03133841794790891,0.03300614433156164,0.035061615998333025,1.0,1.0,1.0
projected_gradient,0.8,0.011272828412713706,0.011801235468855103,0.012465649856750477,0.07778562806073695,0.08132283950949627,0.08561285971004007,1.0,1.0,1.0
random_activation,0.025,4.223804158155364e-07,5.388414211503323e-07,6.844469236364333e-07,-2.6821737304092535e-05,3.028763850598133e-05,7.630046205786937e-05,0.12416107382550336,0.15771812080536912,0.19463087248322147
random_activation,0.05,5.797611191950553e-07,7.273743813047907e-07,9.193985724021168e-07,-1.5612571039834002e-05,4.2159883464139316e-05,9.39074777363269e-05,0.18783557046979868,0.2348993288590604,0.28523489932885904
random_activation,0.1,7.702780768890598e-07,9.442537389741525e-07,1.1449079443695027e-06,-6.017092721872111e-06,5.7583377953714686e-05,0.00013149775193113558,0.27172818791946307,0.31543624161073824,0.3624161073825503
random_activation,0.2,1.4573026169661052e-06,1.7129397355631164e-06,2.034171551753291e-06,6.574463418396377e-06,8.336756426364765e-05,0.00018179074733028813,0.3053691275167785,0.3624161073825503,0.40998322147651023
random_activation,0.4,3.348802148625685e-06,4.180940772183951e-06,5.013120000258589e-06,1.1359799350993145e-05,0.00014303485467499291,0.0003161785148038958,0.36904362416107384,0.4261744966442953,0.48011744966442954
random_activation,0.8,1.083576758294569e-05,1.3378945501177047e-05,1.641293597907482e-05,-1.0031621178188376e-05,0.00022871369700078938,0.0005733187228991319,0.37583892617449666,0.4261744966442953,0.47315436241610737
standard_delta_pca,0.025,1.1313122805411418e-06,1.282113848780691e-06,1.5145963376307046e-06,0.0002989595364892178,0.0003641189454723611,0.00042451657757004236,0.5234060402684564,0.5805369127516778,0.6309563758389262
standard_delta_pca,0.05,1.639411193379804e-06,1.9033602514941194e-06,2.180753086795929e-06,0.0004945556009844056,0.0005679771082269279,0.000641640451974596,0.5,0.5503355704697986,0.5873322147651007
standard_delta_pca,0.1,4.2641941071097e-06,4.722392655349239e-06,5.277671542135294e-06,0.001049148098003827,0.0011443450938549734,0.0012382494082587903,0.6140939597315436,0.6442953020134228,0.6812919463087248
standard_delta_pca,0.2,1.52049052993836e-05,1.6387329442510423e-05,1.7898759706243112e-05,0.0021455285637446728,0.002296019816387259,0.0024536125238979146,0.5738255033557047,0.6040268456375839,0.6375838926174496
standard_delta_pca,0.4,6.055559382721736e-05,6.455797727111651e-05,7.016649990015169e-05,0.004401061981154418,0.004664508088480957,0.005010336173400356,0.5436241610738255,0.5704697986577181,0.6006711409395973
standard_delta_pca,0.8,0.0002480526288167213,0.0002622747165154134,0.00028267539793630286,0.009124775550527368,0.009657260264743488,0.010322202642482793,0.5503355704697986,0.5805369127516778,0.6141778523489932
temperature_1.25,0.0,0.003383366845505358,0.0034691143372608995,0.003582029129386056,0.037572948949152335,0.03890887781333543,0.0404376152617552,1.0,1.0,1.0
temperature_1.5,0.0,0.011858628685262494,0.012141036922691596,0.012509187707335773,0.07871917341019982,0.08112481175059996,0.08410978824356123,1.0,1.0,1.0
temperature_2,0.0,0.03603995214027313,0.03681277565720903,0.03768944817045292,0.16104988795906292,0.16476364084614598,0.16997872712954384,1.0,1.0,1.0
wrong_logit_gradient_normed,0.025,8.579802784229365e-07,9.961215252827486e-07,1.1743995314856447e-06,0.00015298355087421618,0.00020052433827273629,0.0002634262233000078,0.40604026845637586,0.4714765100671141,0.5304530201342282
wrong_logit_gradient_normed,0.05,1.3518777018619086e-06,1.5866925289773053e-06,1.8588082787405762e-06,0.0004263174554723351,0.0004873775731382992,0.0005583820223073048,0.49328859060402686,0.5503355704697986,0.5939597315436241
wrong_logit_gradient_normed,0.1,3.4124399238136592e-06,3.7196711182591715e-06,4.120653100471697e-06,0.0009547841792936653,0.0010244544327972617,0.0011190105954734554,0.6308724832214765,0.6677852348993288,0.7081375838926175
wrong_logit_gradient_normed,0.2,1.115997809316955e-05,1.2073552865984575e-05,1.3155830488374351e-05,0.0019010034784334325,0.0020330840897513566,0.002180958867289524,0.7818791946308725,0.8221476510067114,0.8557885906040269
wrong_logit_gradient_normed,0.4,4.245817235459148e-05,4.511992200319228e-05,4.844964887502927e-05,0.0038145875443588518,0.004055885835362678,0.004338481420270453,0.8859060402684564,0.9228187919463087,0.949748322147651
wrong_logit_gradient_normed,0.8,0.00017206829278728684,0.00018210015569185755,0.0001955812683848057,0.007875783566371565,0.008343415140466524,0.008956051362978935,1.0,1.0,1.0
