domain,target_review_cost,contrast,metric,ci_low,median,ci_high
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,review_cost,0.0,0.0,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,reviewed_error_rate,-0.08070175438596493,-0.05964912280701755,-0.03508771929824561
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,safe_decision_rate,-0.013489736070381175,-0.009964830011723325,-0.005858230814294152
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,automatic_accuracy,-0.01594202898550723,-0.011594202898550732,-0.007246376811594235
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,coverage,0.0,0.0,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,deferred_error_capture,-0.4285714285714286,-0.32558139534883723,-0.22637971698113216
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,error_on_non_deferred,0.007246376811594203,0.011594202898550725,0.015942028985507246
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,review_cost,0.0,0.0,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,reviewed_error_rate,-0.0672782874617737,-0.0489296636085627,-0.03048780487804878
medical_breast_cancer,0.19,rho_fixed_review_vs_entropy_fixed_review,safe_decision_rate,-0.012888107791447001,-0.009373169302870576,-0.005854800936768156
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,automatic_accuracy,-0.01594202898550723,-0.011594202898550732,-0.007246376811594235
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,coverage,0.0,0.0,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,deferred_error_capture,-0.4285714285714286,-0.32558139534883723,-0.22637971698113216
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,error_on_non_deferred,0.007246376811594203,0.011594202898550725,0.015942028985507246
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,review_cost,0.0,0.0,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,reviewed_error_rate,-0.0672782874617737,-0.0489296636085627,-0.03048780487804878
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,safe_decision_rate,-0.012888107791447001,-0.009373169302870576,-0.005854800936768156
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,automatic_accuracy,-0.0166847826086957,-0.013043478260869601,-0.008695652173913104
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,coverage,0.0,0.0,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,deferred_error_capture,-0.47058823529411764,-0.36666666666666664,-0.26913265306122464
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,error_on_non_deferred,0.008695652173913044,0.013043478260869566,0.016684782608695638
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,review_cost,0.0,0.0,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,reviewed_error_rate,-0.07103114478114479,-0.05504587155963303,-0.03680700174480778
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,safe_decision_rate,-0.013511088460588091,-0.010544815465729385,-0.007033894638379551
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,automatic_accuracy,-0.0011165698972755989,-0.0004467277194550867,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,coverage,0.0,0.0,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,deferred_error_capture,-0.033789529325243706,-0.012345679012345623,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,error_on_non_deferred,0.0,0.0004467277194549926,0.0011165698972755694
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,review_cost,0.0,0.0,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,reviewed_error_rate,-0.005464480874316932,-0.0021857923497267673,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,safe_decision_rate,-0.0009271277582050292,-0.00037091988130566467,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,automatic_accuracy,-0.0011165698972755989,-0.0004467277194550867,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,coverage,0.0,0.0,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,deferred_error_capture,-0.033789529325243706,-0.012345679012345623,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,error_on_non_deferred,0.0,0.0004467277194549926,0.0011165698972755694
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,review_cost,0.0,0.0,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,reviewed_error_rate,-0.005464480874316932,-0.0021857923497267673,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,safe_decision_rate,-0.0009271277582050292,-0.00037091988130566467,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,automatic_accuracy,0.013401756763241143,0.0176496872207329,0.021889780514567227
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,coverage,0.0,0.0,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,deferred_error_capture,0.3967344452773613,0.5058481532147743,0.61843671679198
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,error_on_non_deferred,-0.021889780514567258,-0.017649687220732797,-0.013401756763241193
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,review_cost,0.0,0.0,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,reviewed_error_rate,0.06557377049180328,0.08633879781420765,0.10710382513661201
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,safe_decision_rate,0.011127544855651459,0.014654053051381899,0.018175158468312094
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,automatic_accuracy,-0.0011433798307798337,-0.00045745654162854255,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,coverage,0.0,0.0,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,deferred_error_capture,-0.033789529325243706,-0.012345679012345623,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,error_on_non_deferred,0.0,0.000457456541628546,0.0011433798307797852
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,review_cost,0.0,0.0,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,reviewed_error_rate,-0.004901960784313722,-0.0019607843137254832,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,safe_decision_rate,-0.0009271277582050292,-0.00037091988130566467,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,automatic_accuracy,-0.0011433798307798337,-0.00045745654162854255,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,coverage,0.0,0.0,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,deferred_error_capture,-0.033789529325243706,-0.012345679012345623,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,error_on_non_deferred,0.0,0.000457456541628546,0.0011433798307797852
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,review_cost,0.0,0.0,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,reviewed_error_rate,-0.004901960784313722,-0.0019607843137254832,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,safe_decision_rate,-0.0009271277582050292,-0.00037091988130566467,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,automatic_accuracy,0.012109047619047648,0.016012810457680493,0.02012820295455596
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,coverage,0.0,0.0,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,deferred_error_capture,0.34266579884899967,0.44720496894409933,0.5608316364309515
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,error_on_non_deferred,-0.02012820295455597,-0.016012810457680507,-0.012109047619047623
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,review_cost,0.0,0.0,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,reviewed_error_rate,0.051936274509803905,0.06862745098039215,0.08627450980392155
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,safe_decision_rate,0.009819590164667533,0.012983399907638138,0.016320550461341447
