split,target_review_cost,policy,n,review_cost,coverage,automatic_accuracy,error_on_non_deferred,reviewed_error_rate,deferred_error_capture
leave_one_source_out,0.15,rho_only_low_access_review,132,0.15151515151515152,0.8484848484848485,0.34768740031897927,0.6523125996810207,0.7997835497835498,0.1798081622678397
leave_one_source_out,0.25,entropy_fixed_review,132,0.25,0.75,0.3331199984829522,0.6668800015170478,0.7005423553719008,0.2540994623655914
leave_one_source_out,0.25,fisher_fixed_review,132,0.25,0.75,0.3431467364508666,0.6568532635491334,0.7315340909090909,0.26509652981427173
leave_one_source_out,0.25,gradient_fixed_review,132,0.25,0.75,0.3436587400917814,0.6563412599082187,0.7268853305785125,0.26883553274682304
leave_one_source_out,0.25,jacobian_fixed_review,132,0.25,0.75,0.32309326051503773,0.6769067394849623,0.6695506198347108,0.24310239491691107
leave_one_source_out,0.25,rho_entropy_gradient_low_access_review,132,0.25,0.75,0.3738669549057534,0.6261330450942466,0.8186983471074379,0.302761485826002
leave_one_source_out,0.25,rho_entropy_low_access_review,132,0.25,0.75,0.3433284661382283,0.6566715338617717,0.7298984159779615,0.2678620886282177
leave_one_source_out,0.25,rho_only_low_access_review,132,0.25,0.75,0.3637659448047433,0.6362340551952567,0.7883953168044077,0.2926604757249919
leave_one_source_out,0.35,entropy_fixed_review,132,0.3484848484848485,0.6515151515151515,0.3493290771465708,0.6506709228534291,0.7173295454545454,0.366913082437276
leave_one_source_out,0.35,fisher_fixed_review,132,0.3484848484848485,0.6515151515151515,0.3493290771465708,0.6506709228534291,0.7173295454545454,0.366913082437276
leave_one_source_out,0.35,gradient_fixed_review,132,0.3484848484848485,0.6515151515151515,0.3016859087086169,0.6983140912913831,0.634297520661157,0.32389825676116
leave_one_source_out,0.35,jacobian_fixed_review,132,0.3484848484848485,0.6515151515151515,0.3375735912531539,0.662426408746846,0.6960227272727273,0.35591601498859565
leave_one_source_out,0.35,rho_entropy_gradient_low_access_review,132,0.3484848484848485,0.6515151515151515,0.41866732930652184,0.5813326706934782,0.8493026859504132,0.43854268491365267
leave_one_source_out,0.35,rho_entropy_low_access_review,132,0.3484848484848485,0.6515151515151515,0.3490997018120652,0.6509002981879349,0.7181043388429752,0.3687825839035517
leave_one_source_out,0.35,rho_only_low_access_review,132,0.3484848484848485,0.6515151515151515,0.38402209649055735,0.6159779035094426,0.7831869834710743,0.4045780384490062
