index,rho_group,pair_id,true_label,true_class,clean_pred,corrupt_pred,clean_correct,corrupt_correct,answer_flip,correctness_loss,clean_confidence,corrupt_confidence,clean_true_prob,corrupt_true_prob,true_prob_drop,clean_entropy,corrupt_entropy,entropy_increase,clean_margin,corrupt_margin,margin_drop,top10_jaccard,corruption,severity,rho
447,low_rho,3,0,airplane,0,0,1,1,0,0,0.7091236662516248,0.7111561476866199,0.7091236662516248,0.7111561476866199,-0.002032481434995126,0.8937535583343884,0.8885190762589924,-0.0052344820753960075,0.5657519042136662,0.571339846402539,-0.005587942188872819,1.0,gaussian_noise,1,0.8616008680387214
552,low_rho,10,8,ship,8,8,1,1,0,0,0.3022891698123062,0.30356271830626685,0.3022891698123062,0.30356271830626685,-0.0012735484939606634,1.812761797263146,1.8108931508085349,-0.0018686464546111559,0.07671651537623406,0.07886822712517849,-0.002151711748944435,1.0,gaussian_noise,1,0.747757753688239
602,low_rho,4,0,airplane,0,0,1,1,0,0,0.3655746527362146,0.3730520783393977,0.3655746527362146,0.3730520783393977,-0.007477425603183097,1.9138101242578194,1.9016266340748758,-0.012183490182943624,0.1900980936836476,0.19851621076313208,-0.008418117079484477,1.0,gaussian_noise,1,0.8589179530485807
605,low_rho,8,6,frog,6,6,1,1,0,0,0.2678879139352286,0.2686453734996845,0.2678879139352286,0.2686453734996845,-0.0007574595644558868,1.9354738423849447,1.926449198631492,-0.009024643753452688,0.07105455952428646,0.06705413989324754,0.004000419631038921,1.0,gaussian_noise,1,0.9199396350942195
864,high_rho,4,0,airplane,0,0,1,1,0,0,0.324259715964173,0.32024172229728737,0.324259715964173,0.32024172229728737,0.004017993666885655,1.8339282564081238,1.8523238186967697,0.018395562288645806,0.04393299229720127,0.04664861660380826,-0.0027156243066069896,1.0,gaussian_noise,1,0.9820293106201521
929,high_rho,6,0,airplane,0,0,1,1,0,0,0.38982611360466113,0.3928382525916672,0.38982611360466113,0.3928382525916672,-0.0030121389870060855,1.562798335116595,1.5615693901909886,-0.0012289449256064344,0.05244275937852938,0.0572833348113822,-0.004840575432852823,1.0,gaussian_noise,1,0.966100855402704
1078,low_rho,5,0,airplane,0,0,1,1,0,0,0.5178338016774585,0.49125804696005126,0.5178338016774585,0.49125804696005126,0.02657575471740725,1.5079593201457349,1.5932318801091618,0.08527255996342697,0.337135482884472,0.3115187209531055,0.025616761931366472,1.0,gaussian_noise,1,0.8334695418088371
1259,low_rho,11,8,ship,8,8,1,1,0,0,0.2811814600061261,0.27735599654392457,0.2811814600061261,0.27735599654392457,0.0038254634622015282,1.8608076471528476,1.871079735883094,0.01027208873024632,0.06815405928945656,0.06711718126166705,0.0010368780277895118,1.0,gaussian_noise,1,0.8665192170323929
1295,high_rho,5,0,airplane,0,0,1,1,0,0,0.5234343429759584,0.5121535103143815,0.5234343429759584,0.5121535103143815,0.011280832661576867,1.300519627965831,1.3086425881243946,0.008122960158563508,0.2584410842631742,0.22960334273206023,0.02883774153111396,1.0,gaussian_noise,1,0.9589770410979204
1319,low_rho,6,0,airplane,0,0,1,1,0,0,0.38877703971301153,0.3720211028899422,0.38877703971301153,0.3720211028899422,0.016755936823069306,1.8888640598698272,1.9233473266387067,0.03448326676887947,0.23422886114915456,0.21792305162479114,0.016305809524363418,1.0,gaussian_noise,1,0.7964450981001803
1347,high_rho,10,8,ship,8,8,1,1,0,0,0.3210822817494958,0.32416716096347775,0.3210822817494958,0.32416716096347775,-0.003084879213981928,1.7883921225458574,1.7816878476680178,-0.006704274877839644,0.0590347754996291,0.06219136964054245,-0.003156594140913349,1.0,gaussian_noise,1,0.9577477628255966
1579,low_rho,7,0,airplane,0,0,1,1,0,0,0.38220572951259973,0.3791431538686355,0.38220572951259973,0.3791431538686355,0.003062575643964227,1.8856707984356313,1.8840669474815133,-0.00160385095411808,0.21343825945975756,0.20324179472223902,0.010196464737518535,1.0,gaussian_noise,1,0.8222897607179529
1776,high_rho,3,0,airplane,0,0,1,1,0,0,0.6164625947484643,0.6139188013485248,0.6164625947484643,0.6139188013485248,0.002543793399939487,0.9822771693512463,0.9850224759618832,0.0027453066106368773,0.3599247324391603,0.35400231878071553,0.005922413658444758,1.0,gaussian_noise,1,0.992315145771592
1965,high_rho,0,0,airplane,0,0,1,1,0,0,0.4531121876462637,0.4483881314620794,0.4531121876462637,0.4483881314620794,0.004724056184184311,1.535798085088911,1.5434447299928178,0.007646644903906763,0.16755218188201082,0.16091149002796107,0.006640691854049752,1.0,gaussian_noise,1,0.9563621434133106
5,high_rho,8,6,frog,6,6,1,1,0,0,0.26105959256083566,0.25992516885985706,0.26105959256083566,0.25992516885985706,0.001134423700978604,1.9546788096150396,1.9628792877273442,0.008200478112304621,0.06832412297468804,0.07116060652736059,-0.0028364835526725474,1.0,gaussian_noise,3,0.9265845057460879
21,low_rho,0,0,airplane,0,0,1,1,0,0,0.3990829315726324,0.3723365340687742,0.3990829315726324,0.3723365340687742,0.02674639750385821,1.8680139448641315,1.925858681507103,0.05784473664297152,0.245774303894091,0.22002550810194343,0.02574879579214756,1.0,gaussian_noise,3,0.7938724792469983
54,low_rho,9,8,ship,8,8,1,1,0,0,0.29967490571126204,0.2954943746496159,0.29967490571126204,0.2954943746496159,0.00418053106164612,1.840094982618522,1.8413690693718685,0.001274086753346504,0.07777580854383362,0.08385973182887532,-0.0060839232850417035,1.0,gaussian_noise,3,0.9011284404095927
116,high_rho,1,0,airplane,0,0,1,1,0,0,0.3800752555568879,0.38508883897346097,0.3800752555568879,0.38508883897346097,-0.005013583416573042,1.7053144240290643,1.678716256359837,-0.02659816766922729,0.09085371764891875,0.08908942925724184,0.0017642883916769159,1.0,gaussian_noise,3,0.9708135127362162
126,high_rho,11,8,ship,8,8,1,1,0,0,0.30848245441522804,0.30810671736887296,0.30848245441522804,0.30810671736887296,0.00037573704635507355,1.8976033594836466,1.9055432947486475,0.00793993526500092,0.07012379025834262,0.07330555679438516,-0.0031817665360425462,1.0,gaussian_noise,3,0.9761239106970538
189,high_rho,7,0,airplane,0,0,1,1,0,0,0.2856753563557429,0.26706022535705765,0.2856753563557429,0.26706022535705765,0.01861513099868528,1.9759016192392436,2.023283265146629,0.04738164590738525,0.05927769203987382,0.05760895903774624,0.0016687330021275815,1.0,gaussian_noise,3,0.9745789151944727
298,low_rho,1,0,airplane,0,0,1,1,0,0,0.44216903328190554,0.42755355236405856,0.44216903328190554,0.42755355236405856,0.014615480917846979,1.704777394641018,1.755164566137117,0.05038717149609884,0.23609196891087916,0.23125004628587423,0.004841922625004935,1.0,gaussian_noise,3,0.8895754509910572
376,high_rho,2,0,airplane,0,0,1,1,0,0,0.35068698944244775,0.3241123001149866,0.35068698944244775,0.3241123001149866,0.026574689327461154,1.7379565786260376,1.8217951317515195,0.08383855312548194,0.07108261235085067,0.0656195146470323,0.005463097703818365,1.0,gaussian_noise,3,0.9744407563223603
403,high_rho,9,8,ship,8,8,1,1,0,0,0.32664511528744555,0.321587058941833,0.32664511528744555,0.321587058941833,0.0050580563456125716,1.7230426472981517,1.7370126991512183,0.013970051853066545,0.05970642561066075,0.05838229024797781,0.0013241353626829433,1.0,gaussian_noise,3,0.9333808279748933
406,low_rho,2,0,airplane,0,0,1,1,0,0,0.375644086352572,0.374699134616137,0.375644086352572,0.374699134616137,0.0009449517364349957,1.9157331379560185,1.915996042694714,0.0002629047386955019,0.22543459606964697,0.22255191595122203,0.002882680118424935,1.0,gaussian_noise,3,0.741705575761775
447,low_rho,3,0,airplane,0,0,1,1,0,0,0.7091236662516248,0.69787380103227,0.7091236662516248,0.69787380103227,0.011249865219354782,0.8937535583343884,0.9236765663545472,0.029923008020158792,0.5657519042136662,0.5463501112538159,0.019401792959850228,1.0,gaussian_noise,3,0.8616008680387214
552,low_rho,10,8,ship,8,8,1,1,0,0,0.3022891698123062,0.2920584239547058,0.3022891698123062,0.2920584239547058,0.010230745857600365,1.812761797263146,1.8345764611311934,0.021814663868047424,0.07671651537623406,0.062356238533963826,0.014360276842270231,1.0,gaussian_noise,3,0.747757753688239
602,low_rho,4,0,airplane,0,0,1,1,0,0,0.3655746527362146,0.39977315181542505,0.3655746527362146,0.39977315181542505,-0.034198499079210465,1.9138101242578194,1.8553958106286765,-0.058414313629142844,0.1900980936836476,0.2301095336971121,-0.04001144001346449,1.0,gaussian_noise,3,0.8589179530485807
605,low_rho,8,6,frog,6,6,1,1,0,0,0.2678879139352286,0.2652585863563725,0.2678879139352286,0.2652585863563725,0.002629327578856089,1.9354738423849447,1.9288009931731773,-0.006672849211767362,0.07105455952428646,0.06188936208431939,0.009165197439967077,1.0,gaussian_noise,3,0.9199396350942195
864,high_rho,4,0,airplane,0,0,1,1,0,0,0.324259715964173,0.31450073753316193,0.324259715964173,0.31450073753316193,0.00975897843101109,1.8339282564081238,1.8395879497410426,0.005659693332918714,0.04393299229720127,0.027223549430392457,0.01670944286680881,1.0,gaussian_noise,3,0.9820293106201521
929,high_rho,6,0,airplane,0,0,1,1,0,0,0.38982611360466113,0.38084956077806054,0.38982611360466113,0.38084956077806054,0.008976552826600592,1.562798335116595,1.6003625008460114,0.03756416572941634,0.05244275937852938,0.05293654212161608,-0.0004937827430867014,1.0,gaussian_noise,3,0.966100855402704
1078,low_rho,5,0,airplane,0,0,1,1,0,0,0.5178338016774585,0.4737574115594769,0.5178338016774585,0.4737574115594769,0.04407639011798159,1.5079593201457349,1.6425915536201383,0.13463223347440345,0.337135482884472,0.2924323028611219,0.04470318002335011,1.0,gaussian_noise,3,0.8334695418088371
1259,low_rho,11,8,ship,8,8,1,1,0,0,0.2811814600061261,0.27555062182874734,0.2811814600061261,0.27555062182874734,0.00563083817737875,1.8608076471528476,1.8760077218854936,0.015200074732645952,0.06815405928945656,0.06727519137143792,0.0008788679180186387,1.0,gaussian_noise,3,0.8665192170323929
1295,high_rho,5,0,airplane,0,0,1,1,0,0,0.5234343429759584,0.5089203705044901,0.5234343429759584,0.5089203705044901,0.01451397247146824,1.300519627965831,1.3051943326716975,0.004674704705866395,0.2584410842631742,0.2158574417719249,0.042583642491249296,1.0,gaussian_noise,3,0.9589770410979204
1319,low_rho,6,0,airplane,0,0,1,1,0,0,0.38877703971301153,0.35532252766708894,0.38877703971301153,0.35532252766708894,0.03345451204592259,1.8888640598698272,1.954195998350571,0.06533193848074381,0.23422886114915456,0.2010307007786801,0.03319816037047446,1.0,gaussian_noise,3,0.7964450981001803
1347,high_rho,10,8,ship,8,8,1,1,0,0,0.3210822817494958,0.33945791060019287,0.3210822817494958,0.33945791060019287,-0.018375628850697046,1.7883921225458574,1.7560718360882854,-0.03232028645757201,0.0590347754996291,0.07479551504200915,-0.015760739542380053,1.0,gaussian_noise,3,0.9577477628255966
1579,low_rho,7,0,airplane,0,0,1,1,0,0,0.38220572951259973,0.36843885917855934,0.38220572951259973,0.36843885917855934,0.013766870334040393,1.8856707984356313,1.9098837482001492,0.02421294976451782,0.21343825945975756,0.19619808986460488,0.017240169595152677,1.0,gaussian_noise,3,0.8222897607179529
1776,high_rho,3,0,airplane,0,0,1,1,0,0,0.6164625947484643,0.6377840913611182,0.6164625947484643,0.6377840913611182,-0.021321496612653923,0.9822771693512463,0.9853844084769016,0.003107239125655248,0.3599247324391603,0.42569727805303426,-0.06577254561387397,1.0,gaussian_noise,3,0.992315145771592
1965,high_rho,0,0,airplane,0,0,1,1,0,0,0.4531121876462637,0.4555369588235014,0.4531121876462637,0.4555369588235014,-0.0024247711772377167,1.535798085088911,1.528745741184423,-0.0070523439044880565,0.16755218188201082,0.17029217723454743,-0.002739995352536606,1.0,gaussian_noise,3,0.9563621434133106
5,high_rho,8,6,frog,6,6,1,1,0,0,0.26105959256083566,0.2621851723353395,0.26105959256083566,0.2621851723353395,-0.0011255797745038376,1.9546788096150396,1.9503908252597615,-0.004287984355278107,0.06832412297468804,0.06770349966093056,0.000620623313757479,1.0,gaussian_noise,5,0.9265845057460879
21,low_rho,0,0,airplane,0,0,1,1,0,0,0.3990829315726324,0.35364090683209365,0.3990829315726324,0.35364090683209365,0.04544202474053877,1.8680139448641315,1.9619091934977082,0.09389524863357668,0.245774303894091,0.20120827805424005,0.04456602583985095,1.0,gaussian_noise,5,0.7938724792469983
54,low_rho,9,8,ship,8,8,1,1,0,0,0.29967490571126204,0.2954011333231702,0.29967490571126204,0.2954011333231702,0.0042737723880918455,1.840094982618522,1.8515960723067173,0.011501089688195298,0.07777580854383362,0.06716616176557014,0.010609646778263482,1.0,gaussian_noise,5,0.9011284404095927
116,high_rho,1,0,airplane,0,0,1,1,0,0,0.3800752555568879,0.37335659596926907,0.3800752555568879,0.37335659596926907,0.006718659587618858,1.7053144240290643,1.73594102106411,0.030626597035045666,0.09085371764891875,0.09237207571650963,-0.0015183580675908748,1.0,gaussian_noise,5,0.9708135127362162
126,high_rho,11,8,ship,8,8,1,1,0,0,0.30848245441522804,0.31009564067492457,0.30848245441522804,0.31009564067492457,-0.0016131862596965307,1.8976033594836466,1.885431537444522,-0.01217182203912448,0.07012379025834262,0.067841004431612,0.00228278582673061,1.0,gaussian_noise,5,0.9761239106970538
189,high_rho,7,0,airplane,0,0,1,1,0,0,0.2856753563557429,0.2702709470894229,0.2856753563557429,0.2702709470894229,0.01540440926632003,1.9759016192392436,2.008005979253295,0.03210436001405159,0.05927769203987382,0.053741188576426846,0.005536503463446973,1.0,gaussian_noise,5,0.9745789151944727
298,low_rho,1,0,airplane,0,0,1,1,0,0,0.44216903328190554,0.43495306094345004,0.44216903328190554,0.43495306094345004,0.007215972338455501,1.704777394641018,1.7502428092179039,0.0454654145768858,0.23609196891087916,0.2479671602332571,-0.011875191322377937,1.0,gaussian_noise,5,0.8895754509910572
376,high_rho,2,0,airplane,0,0,1,1,0,0,0.35068698944244775,0.3107956648751202,0.35068698944244775,0.3107956648751202,0.039891324567327524,1.7379565786260376,1.850817637617908,0.11286105899187038,0.07108261235085067,0.057149597488192316,0.013933014862658355,1.0,gaussian_noise,5,0.9744407563223603
403,high_rho,9,8,ship,8,8,1,1,0,0,0.32664511528744555,0.31293833000630633,0.32664511528744555,0.31293833000630633,0.013706785281139222,1.7230426472981517,1.7571104674321334,0.034067820133981686,0.05970642561066075,0.056058855785686645,0.003647569824974106,1.0,gaussian_noise,5,0.9333808279748933
406,low_rho,2,0,airplane,0,0,1,1,0,0,0.375644086352572,0.373118101928668,0.375644086352572,0.373118101928668,0.002525984423904004,1.9157331379560185,1.9283518687867471,0.01261873083072862,0.22543459606964697,0.23313424647919712,-0.007699650409550146,1.0,gaussian_noise,5,0.741705575761775
447,low_rho,3,0,airplane,0,0,1,1,0,0,0.7091236662516248,0.7163597918826489,0.7091236662516248,0.7163597918826489,-0.0072361256310240485,0.8937535583343884,0.8903462790167754,-0.0034072793176129768,0.5657519042136662,0.5774004693877092,-0.011648565174043002,1.0,gaussian_noise,5,0.8616008680387214
552,low_rho,10,8,ship,8,8,1,1,0,0,0.3022891698123062,0.2801195377716669,0.3022891698123062,0.2801195377716669,0.022169632040639264,1.812761797263146,1.8579270349329717,0.04516523766982572,0.07671651537623406,0.04503099828800636,0.0316855170882277,1.0,gaussian_noise,5,0.747757753688239
602,low_rho,4,0,airplane,0,0,1,1,0,0,0.3655746527362146,0.35711315369534513,0.3655746527362146,0.35711315369534513,0.008461499040869458,1.9138101242578194,1.930387424188448,0.01657729993062862,0.1900980936836476,0.1848660577898449,0.0052320358938026945,1.0,gaussian_noise,5,0.8589179530485807
605,low_rho,8,6,frog,6,6,1,1,0,0,0.2678879139352286,0.2690148322700337,0.2678879139352286,0.2690148322700337,-0.0011269183348051048,1.9354738423849447,1.9195747567668187,-0.01589908561812603,0.07105455952428646,0.0639781216755331,0.007076437848753364,1.0,gaussian_noise,5,0.9199396350942195
864,high_rho,4,0,airplane,0,0,1,1,0,0,0.324259715964173,0.3183562286382343,0.324259715964173,0.3183562286382343,0.0059034873259387055,1.8339282564081238,1.8393471163709396,0.00541885996281577,0.04393299229720127,0.035628817271030955,0.008304175026170313,1.0,gaussian_noise,5,0.9820293106201521
929,high_rho,6,0,airplane,0,0,1,1,0,0,0.38982611360466113,0.391062949301119,0.38982611360466113,0.391062949301119,-0.001236835696457883,1.562798335116595,1.561029219129365,-0.0017691159872299522,0.05244275937852938,0.05361100855302464,-0.0011682491744952617,1.0,gaussian_noise,5,0.966100855402704
1078,low_rho,5,0,airplane,0,0,1,1,0,0,0.5178338016774585,0.4549518513705084,0.5178338016774585,0.4549518513705084,0.0628819503069501,1.5079593201457349,1.6948560441699374,0.18689672402420254,0.337135482884472,0.2732876998125298,0.06384778307194217,1.0,gaussian_noise,5,0.8334695418088371
1259,low_rho,11,8,ship,8,8,1,1,0,0,0.2811814600061261,0.267777211491056,0.2811814600061261,0.267777211491056,0.013404248515070105,1.8608076471528476,1.894329783439384,0.03352213628653633,0.06815405928945656,0.062047601539549246,0.0061064577499073125,1.0,gaussian_noise,5,0.8665192170323929
1295,high_rho,5,0,airplane,0,0,1,1,0,0,0.5234343429759584,0.48910333506825493,0.5234343429759584,0.48910333506825493,0.03433100790770344,1.300519627965831,1.388709124357032,0.08818949639120088,0.2584410842631742,0.21981607147261029,0.038625012790563906,1.0,gaussian_noise,5,0.9589770410979204
1319,low_rho,6,0,airplane,0,0,1,1,0,0,0.38877703971301153,0.3475159261843818,0.38877703971301153,0.3475159261843818,0.04126111352862971,1.8888640598698272,1.9694794982859052,0.08061543841607799,0.23422886114915456,0.19449754139693645,0.03973131975221811,1.0,gaussian_noise,5,0.7964450981001803
1347,high_rho,10,8,ship,8,8,1,1,0,0,0.3210822817494958,0.33684716621936295,0.3210822817494958,0.33684716621936295,-0.015764884469867124,1.7883921225458574,1.7766742846486347,-0.011717837897222694,0.0590347754996291,0.08160430988406292,-0.02256953438443382,1.0,gaussian_noise,5,0.9577477628255966
1579,low_rho,7,0,airplane,0,0,1,1,0,0,0.38220572951259973,0.38033839925755636,0.38220572951259973,0.38033839925755636,0.0018673302550433757,1.8856707984356313,1.884133266190446,-0.0015375322451853801,0.21343825945975756,0.2091170407067423,0.004321218753015249,1.0,gaussian_noise,5,0.8222897607179529
1776,high_rho,3,0,airplane,0,0,1,1,0,0,0.6164625947484643,0.5964916012296487,0.6164625947484643,0.5964916012296487,0.019970993518815594,0.9822771693512463,1.0114100848865126,0.029132915535266313,0.3599247324391603,0.32313597598373717,0.03678875645542312,1.0,gaussian_noise,5,0.992315145771592
1965,high_rho,0,0,airplane,0,0,1,1,0,0,0.4531121876462637,0.45045560059239054,0.4531121876462637,0.45045560059239054,0.0026565870538731717,1.535798085088911,1.568243615975625,0.03244553088671398,0.16755218188201082,0.17701981637871822,-0.0094676344967074,1.0,gaussian_noise,5,0.9563621434133106
5,high_rho,8,6,frog,6,6,1,1,0,0,0.26105959256083566,0.26098539021483774,0.26105959256083566,0.26098539021483774,7.42023459979202e-05,1.9546788096150396,1.93856255128288,-0.016116258332159683,0.06832412297468804,0.05845244308149655,0.009871679893191487,1.0,brightness,1,0.9265845057460879
21,low_rho,0,0,airplane,0,0,1,1,0,0,0.3990829315726324,0.45596981291220395,0.3990829315726324,0.45596981291220395,-0.05688688133957154,1.8680139448641315,1.7268058603556604,-0.1412080845084711,0.245774303894091,0.30374849072785537,-0.057974186833764374,1.0,brightness,1,0.7938724792469983
54,low_rho,9,8,ship,8,8,1,1,0,0,0.29967490571126204,0.3285482741331039,0.29967490571126204,0.3285482741331039,-0.02887336842184185,1.840094982618522,1.7623666481303837,-0.07772833448813832,0.07777580854383362,0.05083067643648198,0.026945132107351638,1.0,brightness,1,0.9011284404095927
116,high_rho,1,0,airplane,0,0,1,1,0,0,0.3800752555568879,0.36352882779131546,0.3800752555568879,0.36352882779131546,0.01654642776557247,1.7053144240290643,1.8067620574519339,0.10144763342286955,0.09085371764891875,0.10615341926463406,-0.015299701615715311,1.0,brightness,1,0.9708135127362162
126,high_rho,11,8,ship,8,8,1,1,0,0,0.30848245441522804,0.28851551779839946,0.30848245441522804,0.28851551779839946,0.01996693661682858,1.8976033594836466,1.904803366386018,0.007200006902371436,0.07012379025834262,0.03895270823277769,0.031171082025564928,1.0,brightness,1,0.9761239106970538
189,high_rho,7,0,airplane,0,0,1,1,0,0,0.2856753563557429,0.3978454064858054,0.2856753563557429,0.3978454064858054,-0.11217005013006248,1.9759016192392436,1.672360900192026,-0.30354071904721747,0.05927769203987382,0.11843664893070499,-0.05915895689083117,1.0,brightness,1,0.9745789151944727
298,low_rho,1,0,airplane,0,0,1,1,0,0,0.44216903328190554,0.5137768783765134,0.44216903328190554,0.5137768783765134,-0.07160784509460788,1.704777394641018,1.503053936458421,-0.20172345818259707,0.23609196891087916,0.30910692157202546,-0.0730149526611463,1.0,brightness,1,0.8895754509910572
376,high_rho,2,0,airplane,0,0,1,1,0,0,0.35068698944244775,0.36078512644088745,0.35068698944244775,0.36078512644088745,-0.0100981369984397,1.7379565786260376,1.7012550275142129,-0.036701551111824715,0.07108261235085067,0.07113643697366667,-5.382462281600109e-05,1.0,brightness,1,0.9744407563223603
403,high_rho,9,8,ship,8,8,1,1,0,0,0.32664511528744555,0.35784196274217106,0.32664511528744555,0.35784196274217106,-0.031196847454725507,1.7230426472981517,1.6387387986933073,-0.08430384860484441,0.05970642561066075,0.05914087833861725,0.0005655472720434984,1.0,brightness,1,0.9333808279748933
406,low_rho,2,0,airplane,0,0,1,1,0,0,0.375644086352572,0.4696976691135534,0.375644086352572,0.4696976691135534,-0.09405358276098136,1.9157331379560185,1.677904325636511,-0.2378288123195076,0.22543459606964697,0.2971191502143554,-0.07168455414470845,1.0,brightness,1,0.741705575761775
447,low_rho,3,0,airplane,0,0,1,1,0,0,0.7091236662516248,0.7015144581855367,0.7091236662516248,0.7015144581855367,0.007609208066088113,0.8937535583343884,0.899947222811589,0.0061936644772006,0.5657519042136662,0.541381680525934,0.024370223687732118,1.0,brightness,1,0.8616008680387214
552,low_rho,10,8,ship,8,8,1,1,0,0,0.3022891698123062,0.3168382674669954,0.3022891698123062,0.3168382674669954,-0.014549097654689203,1.812761797263146,1.7770132516750972,-0.03574854558804885,0.07671651537623406,0.10123346219449092,-0.024516946818256863,1.0,brightness,1,0.747757753688239
602,low_rho,4,0,airplane,0,0,1,1,0,0,0.3655746527362146,0.3234144509028918,0.3655746527362146,0.3234144509028918,0.04216020183332281,1.9138101242578194,1.8918375408907497,-0.021972583367069642,0.1900980936836476,0.10392889943195593,0.08616919425169167,1.0,brightness,1,0.8589179530485807
605,low_rho,8,6,frog,6,6,1,1,0,0,0.2678879139352286,0.26795216707008895,0.2678879139352286,0.26795216707008895,-6.425313486035922e-05,1.9354738423849447,1.8988170662378845,-0.0366567761470602,0.07105455952428646,0.05050387601825343,0.020550683506033035,1.0,brightness,1,0.9199396350942195
864,high_rho,4,0,airplane,0,0,1,1,0,0,0.324259715964173,0.4574263633724276,0.324259715964173,0.4574263633724276,-0.13316664740825457,1.8339282564081238,1.6066894087134362,-0.2272388476946876,0.04393299229720127,0.21473807406064555,-0.17080508176344428,1.0,brightness,1,0.9820293106201521
929,high_rho,6,0,airplane,0,0,1,1,0,0,0.38982611360466113,0.46116955765439427,0.38982611360466113,0.46116955765439427,-0.07134344404973314,1.562798335116595,1.489510712597429,-0.0732876225191661,0.05244275937852938,0.17276885840814432,-0.12032609902961494,1.0,brightness,1,0.966100855402704
1078,low_rho,5,0,airplane,0,0,1,1,0,0,0.5178338016774585,0.5234746905173443,0.5178338016774585,0.5234746905173443,-0.005640888839885783,1.5079593201457349,1.488068385699533,-0.019890934446201936,0.337135482884472,0.3436154179195232,-0.006479935035051232,1.0,brightness,1,0.8334695418088371
1259,low_rho,11,8,ship,8,8,1,1,0,0,0.2811814600061261,0.28495435479745024,0.2811814600061261,0.28495435479745024,-0.003772894791324144,1.8608076471528476,1.8508471209007267,-0.00996052625212096,0.06815405928945656,0.05806018471706417,0.010093874572392386,1.0,brightness,1,0.8665192170323929
1295,high_rho,5,0,airplane,0,0,1,1,0,0,0.5234343429759584,0.5507824602139646,0.5234343429759584,0.5507824602139646,-0.02734811723800623,1.300519627965831,1.1133700515083462,-0.18714957645748487,0.2584410842631742,0.2630024812277556,-0.00456139696458141,1.0,brightness,1,0.9589770410979204
