model,task,sign,epsilon,n,abs_delta_entropy_mean,abs_delta_varentropy_mean,selected_top1_changed_rate,target_in_topk_rate,target_correct_changed_rate,embedding_centroid_delta_norm_mean,cluster_distribution_l1_mean,rank_displacement_mean,top5_jaccard_mean,selected_prob_l1_mean,selected_kl_mean,abs_non_target_mass_delta_mean
bert-base-uncased,factual_simple,decrease,0.05,324,0.030069965727018352,0.04938438487729857,0.0030864197530864196,0.48148148148148145,0.0,0.017215144942710123,0.028392743515171234,0.026515151515151512,0.9290123456790124,0.03806436281989702,0.0011774971788218835,0.005748468311884919
bert-base-uncased,factual_simple,decrease,0.1,324,0.059784679142035835,0.09685746277406662,0.018518518518518517,0.48148148148148145,0.0,0.033972925264218995,0.055887469310889684,0.04489337822671156,0.8980011757789536,0.07493415127963088,0.004596939418145098,0.011229990934447823
bert-base-uncased,factual_simple,increase,0.02,324,0.012725426780322686,0.022398115475959695,0.0,0.48148148148148145,0.0,0.007142083626558811,0.011856574438131469,0.014075944631500187,0.9742798353909465,0.015870706071748345,0.00020728372525999705,0.0025472540354833165
bert-base-uncased,factual_simple,increase,0.05,324,0.032890374605153115,0.0597284073315794,0.0030864197530864196,0.48148148148148145,0.0,0.01824286347758221,0.030359972008820412,0.029087167976056864,0.9454732510288065,0.0405845183010182,0.0013845431516985721,0.00680079903550115
bert-base-uncased,factual_simple,increase,0.1,324,0.07071591710498823,0.1328619188998273,0.018518518518518517,0.48148148148148145,0.0,0.03817940345113574,0.0638793695515284,0.05092592592592592,0.9044679600235156,0.08515094318491451,0.006388138643829385,0.01598695066802909
distilbert-base-uncased,ambiguous_open,decrease,0.02,432,0.00773080006538491,0.01567755095459597,0.0,0.0,0.0,0.0074908346231152105,0.010810107962895539,0.012415824915824915,0.98070987654321,0.016576292406014995,0.0001986978055555833,
distilbert-base-uncased,ambiguous_open,decrease,0.05,432,0.01979998905947069,0.03977306431822261,0.046296296296296294,0.0,0.0,0.018639169072021275,0.026904955813915134,0.03167087542087542,0.9390432098765432,0.041188786936078255,0.0012295214374544192,
distilbert-base-uncased,ambiguous_open,decrease,0.1,432,0.04103785975112612,0.08116390352604162,0.09027777777777778,0.0,0.0,0.036963271647326955,0.053414172631771485,0.055380190796857465,0.8928571428571429,0.08148092318130457,0.004834291344506857,
distilbert-base-uncased,ambiguous_open,increase,0.02,432,0.007460871413232455,0.015331219856313468,0.006944444444444444,0.0,0.0,0.007534375040843066,0.010869084468974876,0.012976992143658809,0.9814814814814815,0.016707591097002265,0.00020128958915915126,
distilbert-base-uncased,ambiguous_open,increase,0.05,432,0.018143401060374105,0.03761332086228748,0.04861111111111111,0.0,0.0,0.01891104358190252,0.027280573185787558,0.033845398428731764,0.9205246913580247,0.04200640729562419,0.0012700257766893625,
distilbert-base-uncased,ambiguous_open,increase,0.1,432,0.03452010582652687,0.0726115269543133,0.12037037037037036,0.0,0.0,0.038044242230573684,0.05490578771310855,0.06281565656565656,0.85163139329806,0.08473424211069966,0.005157668793606751,
distilbert-base-uncased,factual_deep,decrease,0.02,432,0.009978553749659615,0.013579356119929296,0.013888888888888888,0.2777777777777778,0.0,0.007325676056960124,0.011048386290014575,0.01494107744107744,0.9722222222222222,0.015820633497945977,0.00019713783926508086,0.003936207234136582
distilbert-base-uncased,factual_deep,decrease,0.05,432,0.024752446330771,0.03381921316312503,0.02546296296296296,0.2777777777777778,0.0023148148148148147,0.01812824726786076,0.027326000975571137,0.03419612794612795,0.9367283950617284,0.039072044202549706,0.0012073973989259218,0.009454843641447953
distilbert-base-uncased,factual_deep,decrease,0.1,432,0.04891555457577071,0.06728724236937686,0.041666666666666664,0.2777777777777778,0.0023148148148148147,0.03569803285198362,0.05377233743758745,0.060325476992143655,0.8876763668430335,0.0766507404106685,0.004687843594873871,0.017766094876269616
distilbert-base-uncased,factual_deep,increase,0.02,432,0.01008264881713534,0.013639739389682626,0.02546296296296296,0.2777777777777778,0.0,0.007430762161477711,0.011210530382256655,0.016133557800224466,0.9729938271604938,0.016091241766035453,0.00020303372745645123,0.004169423224676757
distilbert-base-uncased,factual_deep,increase,0.05,432,0.02539472379446571,0.03418489297556224,0.06018518518518518,0.2777777777777778,0.0,0.01878640723914304,0.028345489801359283,0.03777356902356902,0.9317680776014109,0.04077370831639509,0.0012992185438241858,0.01088048012232594
distilbert-base-uncased,factual_deep,increase,0.1,432,0.0514192226315703,0.06849171348750668,0.10416666666666667,0.2777777777777778,0.0,0.038314464044592295,0.05788003324653209,0.06853254769921437,0.8622134038800705,0.08341391321084861,0.0054141961050376206,0.023361525727821568
distilbert-base-uncased,factual_simple,decrease,0.02,324,0.009206899674483928,0.016550283893592484,0.006172839506172839,0.37037037037037035,0.006172839506172839,0.007621729001593964,0.010357831621177626,0.011176580621025065,0.9886831275720164,0.015777847647337657,0.00019646294628091778,0.002922779996504447
distilbert-base-uncased,factual_simple,decrease,0.05,324,0.023023207085145197,0.041103257169684784,0.012345679012345678,0.37037037037037035,0.006172839506172839,0.018996879899708993,0.025766147727849843,0.027731013842124952,0.948559670781893,0.03926902886884829,0.0012160066088322196,0.007312053244843935
distilbert-base-uncased,factual_simple,decrease,0.1,324,0.04698100352279783,0.08359303720045871,0.046296296296296294,0.37037037037037035,0.012345679012345678,0.03806646696363133,0.05188721666505695,0.050738870183314626,0.908289241622575,0.07827480811192578,0.004943206050357061,0.015419816713331926
distilbert-base-uncased,factual_simple,increase,0.02,324,0.009404410920833602,0.016929634253085756,0.0,0.37037037037037035,0.0,0.0077257818697447625,0.010513619553380496,0.013047138047138045,0.9866255144032923,0.016042493130804022,0.00020601013551829373,0.00307336874083274
distilbert-base-uncased,factual_simple,increase,0.05,324,0.02417334659714531,0.043435552331445075,0.021604938271604937,0.37037037037037035,0.009259259259259259,0.019706561502207575,0.026840746108624313,0.0304900860456416,0.940329218106996,0.04098214912628374,0.0013802478280052132,0.008306305859506969
distilbert-base-uncased,factual_simple,increase,0.1,324,0.05119728265208264,0.09173505409355454,0.08641975308641975,0.37037037037037035,0.018518518518518517,0.041116516587309526,0.05640225920674523,0.06004489337822671,0.8831569664902998,0.08552733682037561,0.006472497432186287,0.0195326472598832
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,decrease,0.02,288,0.008329039001236986,0.014946998901052333,0.010416666666666666,0.0,0.0,0.003213773368536851,0.010828929960342062,0.012573653198653199,0.9722222222222222,0.01618230204616762,0.00019876141631914814,
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,decrease,0.05,288,0.021171007058095957,0.03745091853606045,0.03125,0.0,0.0,0.007964747847022995,0.026887975668221667,0.02893518518518519,0.9444444444444444,0.04012845657105273,0.0012305775473000229,
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,decrease,0.1,288,0.0433288349877602,0.07490936123292168,0.06597222222222222,0.0,0.0,0.01569956541417443,0.053167066922443815,0.05134680134680134,0.9011243386243386,0.0791622224652436,0.004844228210647053,
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,increase,0.02,288,0.008118078797000642,0.014849036417346577,0.04513888888888889,0.0,0.0,0.0032507223698967293,0.010926239766034027,0.013783670033670032,0.9756944444444444,0.01634273030990599,0.0002012283860947467,
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,increase,0.05,288,0.019878548557079937,0.03683652872353705,0.09722222222222222,0.0,0.0,0.00819444353481965,0.027488781855211836,0.030671296296296294,0.9548611111111112,0.04113744764865848,0.0012689910726681425,
google/bert_uncased_L-2_H-128_A-2,ambiguous_open,increase,0.1,288,0.03824306546698407,0.0723587520407622,0.13194444444444445,0.0,0.0,0.016601053020844612,0.055492123098647324,0.05739688552188552,0.9196428571428571,0.08313614923022916,0.005147224286646967,
google/bert_uncased_L-2_H-128_A-2,factual_deep,decrease,0.02,288,0.010593315673664155,0.017090027009068663,0.0,0.125,0.0,0.0034353698719111394,0.011414585404687282,0.010679713804713805,0.9826388888888888,0.01613531146792625,0.00019698880727031913,0.002704947849332475
google/bert_uncased_L-2_H-128_A-2,factual_deep,decrease,0.05,288,0.02641535928879692,0.042301944881215324,0.013888888888888888,0.125,0.0,0.008444768660047657,0.02807845671802819,0.026620370370370367,0.957175925925926,0.03970064438143874,0.0012046620450436479,0.006572332842714989
google/bert_uncased_L-2_H-128_A-2,factual_deep,decrease,0.1,288,0.05247880417202319,0.08308886743725369,0.027777777777777776,0.125,0.0,0.016460454298819413,0.054782174200620155,0.04676978114478114,0.9366732804232805,0.07744377615320647,0.004659714759403245,0.012624939982639777
google/bert_uncased_L-2_H-128_A-2,factual_deep,increase,0.02,288,0.01059800371130887,0.017299869006606107,0.017361111111111112,0.125,0.0,0.0035146655333096405,0.011666674689533467,0.011311026936026935,0.9872685185185185,0.01647338884773254,0.00020314404624260623,0.0028047334844322988
google/bert_uncased_L-2_H-128_A-2,factual_deep,increase,0.05,288,0.02644291729810366,0.04362974333535062,0.03819444444444445,0.125,0.0,0.008934862094136343,0.029644718275073773,0.02851430976430976,0.9606481481481483,0.0417957459427453,0.0013004220687172635,0.007191535879844042
google/bert_uncased_L-2_H-128_A-2,factual_deep,increase,0.1,288,0.05242493309866594,0.08830447692741071,0.0763888888888889,0.125,0.0,0.018343594884964808,0.06079445424575215,0.05092592592592592,0.9133597883597884,0.08552262052736155,0.005414867685364506,0.014932901331910489
google/bert_uncased_L-2_H-128_A-2,factual_simple,decrease,0.02,216,0.009342138257877145,0.015150344800411268,0.08333333333333333,0.3333333333333333,0.0,0.003423835709625852,0.012249141755804245,0.015081369248035914,0.9753086419753086,0.016125175121227717,0.00019717356857805026,0.0021938768319948194
google/bert_uncased_L-2_H-128_A-2,factual_simple,decrease,0.05,216,0.023401885030169964,0.03804284631909094,0.10185185185185185,0.3333333333333333,0.0,0.008428867811061076,0.03015594039864957,0.0289702581369248,0.9521604938271605,0.03975707071483073,0.0012080321112960019,0.005346645532206359
google/bert_uncased_L-2_H-128_A-2,factual_simple,decrease,0.1,216,0.04681871616933612,0.07634170238359518,0.13425925925925927,0.3333333333333333,0.0,0.01645879488093473,0.058800910293522884,0.05429292929292929,0.9201940035273368,0.07769009702103752,0.00468763750743682,0.010295231811462023
google/bert_uncased_L-2_H-128_A-2,factual_simple,increase,0.02,216,0.009312999026460956,0.015014670863355306,0.041666666666666664,0.3333333333333333,0.0,0.00349499118923819,0.012488612698398883,0.01515151515151515,0.9398148148148148,0.01643516446182913,0.00020305075143444755,0.0022734756251193543
google/bert_uncased_L-2_H-128_A-2,factual_simple,increase,0.05,216,0.023172955873141467,0.03717649111040905,0.06481481481481481,0.3333333333333333,0.0,0.008870999228195935,0.03166458425430754,0.032196969696969696,0.923721340388007,0.04167264725468152,0.0013006355777424128,0.005845921676350909
google/bert_uncased_L-2_H-128_A-2,factual_simple,increase,0.1,216,0.04569655323294218,0.07259230637591364,0.125,0.3333333333333333,0.0,0.0181700109386607,0.06471331982999946,0.05815095398428732,0.8913139329805996,0.08523097965010536,0.005442725821820422,0.012241240403359856
