model,layer,subspace_family,k,n_subspace_prompt_rows,rho_mean,rho_std,mode,n_interventions
google/bert_uncased_L-2_H-128_A-2,1,delta_pca,4,33,0.41284762805774716,0.18278653356831065,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,1,delta_pca,4,33,0.41284762805774716,0.18278653356831065,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,1,delta_pca,8,33,0.8006347349316498,0.13516044433454644,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,1,delta_pca,8,33,0.8006347349316498,0.13516044433454644,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,1,random,1,66,0.14032279212239673,0.14125128589244615,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,1,random,1,66,0.14032279212239673,0.14125128589244615,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,1,random,4,66,0.4775465023389307,0.18219060946686155,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,1,random,4,66,0.4775465023389307,0.18219060946686155,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,1,random,8,66,0.7966230073054754,0.13498426267939553,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,1,random,8,66,0.7966230073054754,0.13498426267939553,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,1,state_pca,1,33,0.13370387672159906,0.15999102982427307,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,1,state_pca,1,33,0.13370387672159906,0.15999102982427307,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,1,state_pca,4,33,0.4147939207179223,0.16404435750391258,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,1,state_pca,4,33,0.4147939207179223,0.16404435750391258,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,1,state_pca,8,33,0.7274333986218037,0.17674742940881902,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,1,state_pca,8,33,0.7274333986218037,0.17674742940881902,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,2,delta_pca,1,33,0.0981894571270199,0.1007771102656054,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,2,delta_pca,1,33,0.0981894571270199,0.1007771102656054,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,2,delta_pca,4,33,0.5448737438349567,0.24799962592899977,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,2,delta_pca,4,33,0.5448737438349567,0.24799962592899977,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,2,delta_pca,8,33,0.8288893505682808,0.16461565212529883,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,2,delta_pca,8,33,0.8288893505682808,0.16461565212529883,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,2,random,1,66,0.1488780649449383,0.1788701422853323,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,2,random,1,66,0.1488780649449383,0.1788701422853323,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,2,random,4,66,0.5309956373918338,0.22043805771519684,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,2,random,4,66,0.5309956373918338,0.22043805771519684,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,2,random,8,66,0.8768395234924747,0.10260558916049538,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,2,random,8,66,0.8768395234924747,0.10260558916049538,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,2,state_pca,1,33,0.12907850001072627,0.12875135382113273,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,2,state_pca,1,33,0.12907850001072627,0.12875135382113273,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,2,state_pca,4,33,0.5603537300070217,0.2458985950208972,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,2,state_pca,4,33,0.5603537300070217,0.2458985950208972,latent_equal,4224
google/bert_uncased_L-2_H-128_A-2,2,state_pca,8,33,0.8590496440005638,0.14644235634274366,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,2,state_pca,8,33,0.8590496440005638,0.14644235634274366,latent_equal,4224
