outcome_group,method,eps,n,answer_preserved_rate,correct_after_rate,confidence_delta,wrong_confidence_reduced_rate,correct_confidence_increased_rate,overcorrection_rate,gold_probability_delta
correct_low,temperature_1.25,0.0,24,1.0,0.5,-0.047085898207327004,0.5,0.0,0.0,-0.022266250858617997
correct_low,temperature_1.5,0.0,24,1.0,0.5,-0.08509200350526858,0.5,0.0,0.0,-0.04270415260701882
correct_low,temperature_2,0.0,24,1.0,0.5,-0.1418586491867348,0.5,0.0,0.0,-0.07630372193005552
wrong_high,accessible_rho,0.05,12,1.0,0.08333333333333333,-0.00033363680116005323,0.5833333333333334,0.08333333333333333,0.0,0.0006496213126913064
wrong_high,accessible_rho,0.1,12,1.0,0.08333333333333333,-0.0017057951702931229,0.6666666666666666,0.08333333333333333,0.0,0.0017586565235129525
wrong_high,accessible_rho,0.2,12,1.0,0.08333333333333333,-0.003437586260676917,0.9166666666666666,0.08333333333333333,0.0,0.003893042540434072
wrong_high,accessible_rho,0.4,12,1.0,0.08333333333333333,-0.0070396955771280245,0.9166666666666666,0.08333333333333333,0.0,0.007997429836246933
wrong_high,low_rho,0.05,12,1.0,0.08333333333333333,-0.0006141192284709884,0.6666666666666666,0.08333333333333333,0.0,0.0009108120942885045
wrong_high,low_rho,0.1,12,1.0,0.08333333333333333,-0.0015729735350769047,0.75,0.08333333333333333,0.0,0.0019522930061074695
wrong_high,low_rho,0.2,12,1.0,0.08333333333333333,-0.0022568636139256304,0.75,0.08333333333333333,0.0,0.004055948979888785
wrong_high,low_rho,0.4,12,1.0,0.08333333333333333,-0.005391005569679197,0.9166666666666666,0.08333333333333333,0.0,0.008871888889233709
wrong_high,projected_gradient,0.05,12,0.9166666666666666,0.08333333333333333,-0.03557453510557068,0.9166666666666666,0.08333333333333333,0.0,0.003967948778976882
wrong_high,projected_gradient,0.1,12,0.75,0.08333333333333333,-0.06015929562732891,0.9166666666666666,0.08333333333333333,0.0,0.009303009803809492
wrong_high,projected_gradient,0.2,12,0.4166666666666667,0.16666666666666666,-0.04454607648989445,0.9166666666666666,0.08333333333333333,0.0,0.017483765866178197
wrong_high,projected_gradient,0.4,12,0.4166666666666667,0.16666666666666666,0.007004588248159305,0.9166666666666666,0.08333333333333333,0.0,0.03271333965209969
wrong_high,random_activation,0.05,12,1.0,0.08333333333333333,-0.00011476084959038957,0.4166666666666667,0.0,0.0,8.393097205469657e-05
wrong_high,random_activation,0.1,12,1.0,0.08333333333333333,-0.00020385513762610774,0.4166666666666667,0.08333333333333333,0.0,0.00022162494489005868
wrong_high,random_activation,0.2,12,1.0,0.08333333333333333,0.00018672327703073144,0.4166666666666667,0.0,0.0,-0.0004247343302089812
wrong_high,random_activation,0.4,12,1.0,0.08333333333333333,0.00014237934924099527,0.4166666666666667,0.0,0.0,-0.0006012584668906862
wrong_high,standard_delta_pca,0.05,12,1.0,0.08333333333333333,-0.0006371630242725246,0.5833333333333334,0.08333333333333333,0.0,0.00015005835470202622
wrong_high,standard_delta_pca,0.1,12,1.0,0.08333333333333333,-0.0020199587001664687,0.6666666666666666,0.08333333333333333,0.0,0.0004874187039665412
wrong_high,standard_delta_pca,0.2,12,1.0,0.08333333333333333,-0.004062582792168312,0.8333333333333334,0.0,0.0,0.0010156753032483923
wrong_high,standard_delta_pca,0.4,12,1.0,0.08333333333333333,-0.008239199186301782,0.8333333333333334,0.08333333333333333,0.0,0.0027126472325862405
wrong_high,temperature_1.25,0.0,12,1.0,0.08333333333333333,-0.04501218233654036,0.9166666666666666,0.0,0.0,0.00832866270716745
wrong_high,temperature_1.5,0.0,12,1.0,0.08333333333333333,-0.07708491634974884,0.9166666666666666,0.0,0.0,0.015188010781435085
wrong_high,temperature_2,0.0,12,1.0,0.08333333333333333,-0.11955950504262397,0.9166666666666666,0.0,0.0,0.026032667017486216
wrong_low,accessible_rho,0.05,10,1.0,0.1,-0.0009357578360779106,0.7,0.1,0.0,0.0005732897354668864
wrong_low,accessible_rho,0.1,10,1.0,0.1,-0.0017365646517039646,0.7,0.1,0.0,0.0011235943351218802
wrong_low,accessible_rho,0.2,10,1.0,0.1,-0.00413828452520687,0.9,0.1,0.0,0.0028781747384512557
wrong_low,accessible_rho,0.4,10,1.0,0.1,-0.008235310490919523,0.9,0.1,0.0,0.005917308243419628
wrong_low,low_rho,0.05,10,1.0,0.1,-0.0006805353171105422,0.5,0.0,0.0,0.00031761816426439937
wrong_low,low_rho,0.1,10,1.0,0.1,-0.0008520950162865248,0.7,0.0,0.0,0.0009309207192177427
wrong_low,low_rho,0.2,10,1.0,0.1,-0.0016232859007703215,0.7,0.1,0.0,0.0017911959672556321
wrong_low,low_rho,0.4,10,1.0,0.1,-0.0037329730152957374,0.9,0.1,0.0,0.003954656198026096
wrong_low,projected_gradient,0.05,10,0.9,0.1,-0.03566763449186988,0.9,0.1,0.0,0.01876554035121969
wrong_low,projected_gradient,0.1,10,0.5,0.3,-0.03176118608055867,0.9,0.1,0.0,0.03713539672449462
wrong_low,projected_gradient,0.2,10,0.5,0.3,0.007387664112174841,0.9,0.1,0.0,0.07089862297900246
wrong_low,projected_gradient,0.4,10,0.3,0.4,0.06851577996478697,0.9,0.1,0.0,0.12136145858457803
wrong_low,random_activation,0.05,10,1.0,0.1,-0.001331158238102037,0.5,0.0,0.0,0.0005070031456907986
wrong_low,random_activation,0.1,10,1.0,0.1,-0.0021876131330637594,0.6,0.0,0.0,0.0009624229676210572
wrong_low,random_activation,0.2,10,1.0,0.1,-0.004355163213776936,0.7,0.0,0.0,0.0018389714205003793
wrong_low,random_activation,0.4,10,1.0,0.1,-0.009898271746882403,0.8,0.0,0.0,0.0039653824247886105
wrong_low,standard_delta_pca,0.05,10,1.0,0.1,-0.0013050365464293834,0.7,0.0,0.0,0.00038211131267229526
wrong_low,standard_delta_pca,0.1,10,1.0,0.1,-0.0018592679764251052,0.7,0.0,0.0,0.0007908042507264734
wrong_low,standard_delta_pca,0.2,10,1.0,0.1,-0.004348173524371113,0.7,0.0,0.0,0.001561885773104732
wrong_low,standard_delta_pca,0.4,10,1.0,0.1,-0.007966013729435673,0.7,0.0,0.0,0.0026146725916345592
wrong_low,temperature_1.25,0.0,10,1.0,0.1,-0.03745049080838525,0.9,0.0,0.0,0.004478651294425762
wrong_low,temperature_1.5,0.0,10,1.0,0.1,-0.06416464693933538,0.9,0.0,0.0,0.006359286742101733
wrong_low,temperature_2,0.0,10,1.0,0.1,-0.09952345849001598,0.9,0.0,0.0,0.007231058753465247
