side_prompt_id,side_task,side_topic,side_observed_condition,side_top1_before,side_top1_after,side_top1_changed,side_target_id,side_target_correct_before,side_target_correct_after,side_target_correct_changed,side_target_prob_drop,side_candidate_kl,side_top10_jaccard,side_entropy_delta,side_abs_entropy_delta,model,prompt_id,layer,subspace_family,subspace_k,rep
19,factual_deep,common,error,8257,8803,1,2452.0,0,0,0,-0.0005867003212839273,0.380295824580558,0.0,-0.384564653407387,0.384564653407387,distilbert-base-uncased,4,2,state_pca,8,0
5,factual_simple,lexical,error,20212,2894,1,2053.0,0,0,0,5.377227606298901e-06,0.6571229858637009,0.25,-0.4884859769339789,0.4884859769339789,distilbert-base-uncased,4,2,state_pca,8,0
21,ambiguous_open,polysemy,ambiguous,6578,2991,1,,0,0,0,,0.4619323650662453,0.05263157894736842,-0.7034188993005555,0.7034188993005555,distilbert-base-uncased,4,2,state_pca,8,0
14,factual_simple,math,error,4414,14088,1,2093.0,0,0,0,-0.00011263534207651122,0.7407800068677374,0.17647058823529413,0.5912236039991319,0.5912236039991319,distilbert-base-uncased,4,2,state_pca,8,0
17,factual_simple,role,error,9431,2991,1,10026.0,0,0,0,0.00017042858240807598,0.8136672270209157,0.1111111111111111,-0.6273511643540886,0.6273511643540886,distilbert-base-uncased,4,2,state_pca,8,0
7,factual_deep,antonym,correct,4385,2500,1,2157.0,0,0,0,-0.00025512103528296744,0.7039072926369976,0.0,-0.649982816457011,0.649982816457011,distilbert-base-uncased,4,2,state_pca,8,0
16,factual_deep,currency,correct,3732,6578,1,9944.0,0,0,0,-1.1333911962347823e-05,0.4287520358617559,0.17647058823529413,-0.29315330696143427,0.29315330696143427,distilbert-base-uncased,4,2,state_pca,8,0
15,ambiguous_open,open,ambiguous,7522,3292,1,,0,0,0,,0.6447711713506611,0.05263157894736842,-0.5032790408217371,0.5032790408217371,distilbert-base-uncased,4,2,state_pca,8,0
20,factual_simple,capital,error,14128,26702,1,3000.0,0,0,0,4.245441290983854e-05,0.7628882439252721,0.25,-0.5951844336988361,0.5951844336988361,distilbert-base-uncased,4,2,state_pca,8,0
10,factual_deep,role,correct,3292,3292,0,4062.0,0,0,0,2.4891776712410795e-05,0.5996021527829636,0.1111111111111111,-0.6743374695703839,0.6743374695703839,distilbert-base-uncased,4,2,state_pca,8,0
9,ambiguous_open,open,ambiguous,6578,2991,1,,0,0,0,,0.46549093281253306,0.17647058823529413,-0.4554252087390749,0.4554252087390749,distilbert-base-uncased,4,2,state_pca,8,0
8,factual_simple,capital,correct,14128,22216,1,8947.0,0,0,0,2.43368355102804e-05,0.8970559249828585,0.17647058823529413,-0.714617549511047,0.714617549511047,distilbert-base-uncased,4,2,delta_pca,8,0
6,ambiguous_open,polysemy,ambiguous,8178,6578,1,,0,0,0,,0.6968693444514389,0.1111111111111111,-0.7015854477116354,0.7015854477116354,distilbert-base-uncased,4,2,delta_pca,8,0
10,factual_deep,role,correct,3292,10720,1,4062.0,0,0,0,4.3201488783129824e-05,0.3859661364278991,0.17647058823529413,-0.25044947718668364,0.25044947718668364,distilbert-base-uncased,4,2,delta_pca,8,0
5,factual_simple,lexical,error,20212,22216,1,2053.0,0,0,0,-0.0003279448414438041,0.9784074773028015,0.17647058823529413,-0.9704568214678453,0.9704568214678453,distilbert-base-uncased,4,2,delta_pca,8,0
18,ambiguous_open,role,ambiguous,5012,6578,1,,0,0,0,,0.43833684058414424,0.17647058823529413,-0.47212215666859025,0.47212215666859025,distilbert-base-uncased,4,2,delta_pca,8,0
17,factual_simple,role,error,9431,5776,1,10026.0,0,0,0,0.0002582575354542696,0.5138100265637893,0.17647058823529413,-0.3583173556945365,0.3583173556945365,distilbert-base-uncased,4,2,delta_pca,8,0
21,ambiguous_open,polysemy,ambiguous,6578,6578,0,,0,0,0,,0.6349850113629523,0.05263157894736842,-0.9281917570283076,0.9281917570283076,distilbert-base-uncased,4,2,delta_pca,8,0
13,factual_deep,math,error,2048,2048,0,2093.0,0,0,0,-0.004065532010505007,0.2950748416310585,0.5384615384615384,-0.47235790985927517,0.47235790985927517,distilbert-base-uncased,4,2,delta_pca,8,0
15,ambiguous_open,open,ambiguous,7522,22927,1,,0,0,0,,0.4480258503166177,0.1111111111111111,-0.425575615079512,0.425575615079512,distilbert-base-uncased,4,2,delta_pca,8,0
0,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.43743630958032453,0.17647058823529413,-0.7345756798361989,0.7345756798361989,distilbert-base-uncased,4,2,delta_pca,8,0
9,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.5566745672609454,0.1111111111111111,-0.509779008116169,0.509779008116169,distilbert-base-uncased,4,2,delta_pca,8,0
3,ambiguous_open,open,ambiguous,27839,27839,0,,0,0,0,,0.6847562607518038,0.17647058823529413,-0.6773359002432287,0.6773359002432287,distilbert-base-uncased,4,2,delta_pca,8,0
11,factual_simple,science,correct,14128,29153,1,13035.0,0,0,0,-4.383125625404707e-05,0.5055796157905019,0.17647058823529413,-0.6344617683915867,0.6344617683915867,distilbert-base-uncased,4,2,random,8,0
17,factual_simple,role,error,9431,4175,1,10026.0,0,0,0,0.00025080306479428383,0.8421664012758658,0.17647058823529413,-0.4857088607936504,0.4857088607936504,distilbert-base-uncased,4,2,random,8,0
16,factual_deep,currency,correct,3732,17094,1,9944.0,0,0,0,-1.6421740593353947e-05,0.4012976289446227,0.1111111111111111,-0.5795157436469531,0.5795157436469531,distilbert-base-uncased,4,2,random,8,0
7,factual_deep,antonym,correct,4385,24970,1,2157.0,0,0,0,-0.0004512983942768975,0.6876025309616847,0.0,-0.27515965482199567,0.27515965482199567,distilbert-base-uncased,4,2,random,8,0
2,factual_simple,language,correct,14128,29153,1,3009.0,0,0,0,-2.739474568230025e-06,0.6963874709311387,0.17647058823529413,-0.8948766457188557,0.8948766457188557,distilbert-base-uncased,4,2,random,8,0
18,ambiguous_open,role,ambiguous,5012,8803,1,,0,0,0,,0.4359469233746036,0.25,-0.33904368202359336,0.33904368202359336,distilbert-base-uncased,4,2,random,8,0
19,factual_deep,common,error,8257,8803,1,2452.0,0,0,0,5.2529006342270796e-05,0.5131564387424316,0.17647058823529413,-0.2979570852084934,0.2979570852084934,distilbert-base-uncased,4,2,random,8,0
20,factual_simple,capital,error,14128,29153,1,3000.0,0,0,0,-0.00010041802243123778,0.6849984511496072,0.1111111111111111,-0.8637550183794769,0.8637550183794769,distilbert-base-uncased,4,2,random,8,0
9,ambiguous_open,open,ambiguous,6578,8803,1,,0,0,0,,0.40827285132149055,0.25,-0.22084614927875723,0.22084614927875723,distilbert-base-uncased,4,2,random,8,0
15,ambiguous_open,open,ambiguous,7522,8803,1,,0,0,0,,0.5740917069727619,0.1111111111111111,-0.39650487859664674,0.39650487859664674,distilbert-base-uncased,4,2,random,8,0
14,factual_simple,math,error,4414,4414,0,2093.0,0,0,0,-9.136154792342715e-05,0.28682029831798755,0.25,-0.21407189652387837,0.21407189652387837,distilbert-base-uncased,4,2,random,8,0
13,factual_deep,math,error,2048,3674,1,2093.0,0,0,0,-0.000668816919961358,0.4589945592787074,0.25,-0.29623561421991296,0.29623561421991296,distilbert-base-uncased,4,2,random,8,0
23,factual_simple,common,correct,4414,9662,1,2630.0,0,0,0,-3.219269438096739e-05,0.3834612020666537,0.1111111111111111,0.038831944237416316,0.038831944237416316,distilbert-base-uncased,5,2,state_pca,8,0
19,factual_deep,common,error,8257,5776,1,2452.0,0,0,0,8.25115415551682e-05,0.6320083396502985,0.1111111111111111,-0.8026564233041071,0.8026564233041071,distilbert-base-uncased,5,2,state_pca,8,0
13,factual_deep,math,error,2048,2115,1,2093.0,0,0,0,0.003983615862848249,0.5471085535412392,0.25,-0.747460498565697,0.747460498565697,distilbert-base-uncased,5,2,state_pca,8,0
14,factual_simple,math,error,4414,4414,0,2093.0,0,0,0,-0.000289073167219189,0.4747019032447509,0.17647058823529413,0.01439726597422375,0.01439726597422375,distilbert-base-uncased,5,2,state_pca,8,0
11,factual_simple,science,correct,14128,9662,1,13035.0,0,0,0,-1.147312735150769e-05,0.5657031610758728,0.3333333333333333,-0.2601422083220477,0.2601422083220477,distilbert-base-uncased,5,2,state_pca,8,0
4,factual_deep,animal_class,error,6821,16685,1,25476.0,0,0,0,1.3063941088557597e-05,0.5969668893378353,0.05263157894736842,-0.6441263660363501,0.6441263660363501,distilbert-base-uncased,5,2,state_pca,8,0
10,factual_deep,role,correct,3292,5952,1,4062.0,0,0,0,3.7376195639897257e-05,0.9063904812889598,0.1111111111111111,-0.7914027296978343,0.7914027296978343,distilbert-base-uncased,5,2,state_pca,8,0
1,factual_deep,continent,error,14128,9662,1,4021.0,0,0,0,-7.73868010199009e-05,0.5252343436776853,0.17647058823529413,-0.3577527227333803,0.3577527227333803,distilbert-base-uncased,5,2,state_pca,8,0
0,ambiguous_open,open,ambiguous,6578,10162,1,,0,0,0,,0.34810573689832874,0.17647058823529413,-0.1190674725095433,0.1190674725095433,distilbert-base-uncased,5,2,state_pca,8,0
21,ambiguous_open,polysemy,ambiguous,6578,4592,1,,0,0,0,,0.5648459734836262,0.0,-0.46900759795449964,0.46900759795449964,distilbert-base-uncased,5,2,state_pca,8,0
8,factual_simple,capital,correct,14128,9662,1,8947.0,0,0,0,-5.823906140220083e-05,0.5613318410183815,0.17647058823529413,-0.3106432802293684,0.3106432802293684,distilbert-base-uncased,5,2,state_pca,8,0
9,ambiguous_open,open,ambiguous,6578,10162,1,,0,0,0,,0.43697057733111017,0.05263157894736842,-0.189248747443985,0.189248747443985,distilbert-base-uncased,5,2,state_pca,8,0
21,ambiguous_open,polysemy,ambiguous,6578,3732,1,,0,0,0,,0.9750050781157675,0.1111111111111111,-0.9361048395945772,0.9361048395945772,distilbert-base-uncased,5,2,delta_pca,8,0
15,ambiguous_open,open,ambiguous,7522,7704,1,,0,0,0,,0.5605511130758822,0.05263157894736842,-0.6192281172872267,0.6192281172872267,distilbert-base-uncased,5,2,delta_pca,8,0
22,factual_deep,capital,error,14128,9662,1,4068.0,0,0,0,1.399884000636228e-05,1.797574032987467,0.05263157894736842,-0.9793964778315645,0.9793964778315645,distilbert-base-uncased,5,2,delta_pca,8,0
23,factual_simple,common,correct,4414,2797,1,2630.0,0,0,0,-1.8896342752929588e-05,0.6936810443817752,0.05263157894736842,-0.24501872540420777,0.24501872540420777,distilbert-base-uncased,5,2,delta_pca,8,0
11,factual_simple,science,correct,14128,9662,1,13035.0,0,0,0,9.069821110044042e-06,1.6421130494697518,0.05263157894736842,-0.7173270383565922,0.7173270383565922,distilbert-base-uncased,5,2,delta_pca,8,0
4,factual_deep,animal_class,error,6821,6397,1,25476.0,0,0,0,-4.238574858385521e-05,0.9179090495733325,0.0,-0.829163189344305,0.829163189344305,distilbert-base-uncased,5,2,delta_pca,8,0
19,factual_deep,common,error,8257,7704,1,2452.0,0,0,0,9.238054756797332e-05,1.0282280468568221,0.05263157894736842,-0.8923153897068796,0.8923153897068796,distilbert-base-uncased,5,2,delta_pca,8,0
20,factual_simple,capital,error,14128,9662,1,3000.0,0,0,0,-7.785946673600446e-05,1.3567123398505632,0.05263157894736842,-0.963668198685558,0.963668198685558,distilbert-base-uncased,5,2,delta_pca,8,0
0,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.5613517926983645,0.1111111111111111,-0.6190462666542107,0.6190462666542107,distilbert-base-uncased,5,2,delta_pca,8,0
17,factual_simple,role,error,9431,5776,1,10026.0,0,0,0,0.00024237780395221028,1.0386482006508198,0.05263157894736842,-1.3619095673764563,1.3619095673764563,distilbert-base-uncased,5,2,delta_pca,8,0
16,factual_deep,currency,correct,3732,3732,0,9944.0,0,0,0,-2.69908287075987e-06,0.8349183346666544,0.25,-0.9706460185701,0.9706460185701,distilbert-base-uncased,5,2,delta_pca,8,0
9,ambiguous_open,open,ambiguous,6578,7139,1,,0,0,0,,0.9802610175666268,0.05263157894736842,-0.8783075824813205,0.8783075824813205,distilbert-base-uncased,5,2,delta_pca,8,0
15,ambiguous_open,open,ambiguous,7522,8094,1,,0,0,0,,0.4961190507896325,0.0,-0.3206018257353045,0.3206018257353045,distilbert-base-uncased,5,2,random,8,0
1,factual_deep,continent,error,14128,29153,1,4021.0,0,0,0,5.075477385324615e-05,0.5419244170885114,0.3333333333333333,-0.5016549897479461,0.5016549897479461,distilbert-base-uncased,5,2,random,8,0
20,factual_simple,capital,error,14128,16891,1,3000.0,0,0,0,1.3249476462729827e-05,0.7890907841054471,0.1111111111111111,-0.6661672790600917,0.6661672790600917,distilbert-base-uncased,5,2,random,8,0
0,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.6062107667425585,0.05263157894736842,-1.1266574740378998,1.1266574740378998,distilbert-base-uncased,5,2,random,8,0
23,factual_simple,common,correct,4414,20106,1,2630.0,0,0,0,1.7030041707480607e-06,0.33682549000017337,0.25,0.07693147362394548,0.07693147362394548,distilbert-base-uncased,5,2,random,8,0
