source,direction,subspace_family,sign,n,fisher_output_energy_mean,entropy_efficiency_mean,varentropy_efficiency_mean,abs_delta_entropy_mean,abs_delta_varentropy_mean,selected_top1_changed_rate,top10_jaccard_mean
decoder_main,random_control,delta_pca,increase,36,0.05,0.42731289485925805,0.7096158140361312,0.021365644742962903,0.03548079070180656,0.0,0.9696969696969696
decoder_main,random_control,random,decrease,36,0.05,0.36523246153998257,0.590613773766429,0.018261623076999127,0.02953068868832145,0.05555555555555555,0.9393939393939394
decoder_main,random_control,random,increase,36,0.05,0.4022251227127763,0.7067436899111027,0.020111256135638817,0.03533718449555514,0.0,0.9200336700336701
decoder_main,random_control,state_pca,decrease,36,0.05,0.4205595069894738,0.8105973399229169,0.02102797534947369,0.040529866996145844,0.08333333333333333,0.9292929292929293
decoder_main,random_control,state_pca,increase,36,0.05,0.416211817871773,0.795091764566323,0.02081059089358865,0.03975458822831615,0.0,0.9351851851851851
mlm_topk32,accessible_ls,delta_pca,decrease,115,0.05,0.6423610212704874,1.3451535628239795,0.032118051063524375,0.06725767814119897,0.017391304347826087,0.9467720685111989
mlm_topk32,accessible_ls,delta_pca,increase,115,0.05,0.5998156546843192,1.289803764669039,0.029990782734215956,0.06449018823345196,0.02608695652173913,0.9512516469038208
mlm_topk32,accessible_ls,random,decrease,184,0.05,0.6898871266009162,1.287636557512321,0.034494356330045814,0.06438182787561605,0.02717391304347826,0.9537220026350461
mlm_topk32,accessible_ls,random,increase,184,0.05,0.6646794379836511,1.2694371697876163,0.033233971899182556,0.06347185848938083,0.016304347826086956,0.9461462450592886
mlm_topk32,accessible_ls,state_pca,decrease,184,0.05,0.7008270377331682,1.2783500410658433,0.03504135188665841,0.06391750205329216,0.02717391304347826,0.955862977602108
mlm_topk32,accessible_ls,state_pca,increase,184,0.05,0.6892958559047433,1.2760850034864484,0.03446479279523717,0.06380425017432242,0.021739130434782608,0.9489459815546774
mlm_topk32,grad_orthogonal_control,delta_pca,decrease,115,0.05,0.02001764538532516,0.11774510513407435,0.0010008822692662582,0.005887255256703718,0.017391304347826087,0.9314888010540184
mlm_topk32,grad_orthogonal_control,delta_pca,increase,115,0.05,0.02006803442092479,0.10885068912818635,0.0010034017210462395,0.005442534456409317,0.0782608695652174,0.9212121212121211
mlm_topk32,grad_orthogonal_control,random,decrease,184,0.05,0.02419584805644515,0.1478539071805719,0.0012097924028222577,0.007392695359028595,0.04891304347826087,0.9242044187696361
mlm_topk32,grad_orthogonal_control,random,increase,184,0.05,0.024259085669226212,0.14866656084486835,0.0012129542834613107,0.007433328042243417,0.03260869565217391,0.9413702239789197
mlm_topk32,grad_orthogonal_control,state_pca,decrease,184,0.05,0.0221900860660347,0.18495634008040823,0.0011095043033017352,0.009247817004020413,0.03804347826086957,0.932312252964427
mlm_topk32,grad_orthogonal_control,state_pca,increase,184,0.05,0.022543661816250057,0.20062909666606163,0.001127183090812503,0.010031454833303081,0.043478260869565216,0.9342885375494071
mlm_topk32,random_control,delta_pca,decrease,115,0.05,0.2573545842937845,0.5465870675224677,0.012867729214689224,0.027329353376123383,0.043478260869565216,0.9220026350461134
mlm_topk32,random_control,delta_pca,increase,115,0.05,0.22866500364274933,0.5190809194274909,0.011433250182137467,0.02595404597137455,0.043478260869565216,0.9370223978919632
mlm_topk32,random_control,random,decrease,184,0.05,0.2696373360571244,0.5860873961673423,0.013481866802856221,0.02930436980836712,0.03804347826086957,0.9314888010540185
mlm_topk32,random_control,random,increase,184,0.05,0.25191712835830576,0.5749616966695106,0.012595856417915288,0.028748084833475535,0.03804347826086957,0.9336297760210803
mlm_topk32,random_control,state_pca,decrease,184,0.05,0.2869656051974786,0.5720712821934236,0.01434828025987393,0.02860356410967118,0.059782608695652176,0.9331357048748352
mlm_topk32,random_control,state_pca,increase,184,0.05,0.26692861230841264,0.5558934690051773,0.013346430615420634,0.027794673450258867,0.03260869565217391,0.9281569879395967
