source,subspace_family,sign,control,metric,accessible,control_value,accessible_minus_control,accessible_over_control
decoder_main,state_pca,decrease,grad_orthogonal_control,entropy_efficiency_mean,0.849420821582216,0.06364906053915648,0.7857717610430595,13.345378775224152
decoder_main,state_pca,decrease,grad_orthogonal_control,varentropy_efficiency_mean,1.2552780294608243,0.324411306054144,0.9308667234066803,3.8694028415005963
decoder_main,state_pca,increase,random_control,entropy_efficiency_mean,0.9177713339827184,0.416211817871773,0.5015595161109454,2.2050583250508913
decoder_main,state_pca,increase,random_control,varentropy_efficiency_mean,1.4164437587379133,0.795091764566323,0.6213519941715903,1.78148463090987
decoder_main,state_pca,increase,grad_orthogonal_control,entropy_efficiency_mean,0.9177713339827184,0.06342253128920697,0.8543488026935114,14.470745889937408
decoder_main,state_pca,increase,grad_orthogonal_control,varentropy_efficiency_mean,1.4164437587379133,0.37676292345958873,1.0396808352783244,3.7595094170401824
mlm_topk32,delta_pca,decrease,random_control,entropy_efficiency_mean,0.6423610212704874,0.2573545842937845,0.38500643697670295,2.496015460665728
mlm_topk32,delta_pca,decrease,random_control,varentropy_efficiency_mean,1.3451535628239795,0.5465870675224677,0.7985664953015118,2.461005103763613
mlm_topk32,delta_pca,decrease,grad_orthogonal_control,entropy_efficiency_mean,0.6423610212704874,0.02001764538532516,0.6223433758851623,32.089739272801744
mlm_topk32,delta_pca,decrease,grad_orthogonal_control,varentropy_efficiency_mean,1.3451535628239795,0.11774510513407435,1.2274084576899051,11.424284358082453
mlm_topk32,delta_pca,increase,random_control,entropy_efficiency_mean,0.5998156546843192,0.22866500364274933,0.37115065104156986,2.6231196078497017
mlm_topk32,delta_pca,increase,random_control,varentropy_efficiency_mean,1.289803764669039,0.5190809194274909,0.7707228452415481,2.484783617343516
mlm_topk32,delta_pca,increase,grad_orthogonal_control,entropy_efficiency_mean,0.5998156546843192,0.02006803442092479,0.5797476202633944,29.88910832537221
mlm_topk32,delta_pca,increase,grad_orthogonal_control,varentropy_efficiency_mean,1.289803764669039,0.10885068912818635,1.1809530755408526,11.849293513889666
mlm_topk32,random,decrease,random_control,entropy_efficiency_mean,0.6898871266009162,0.2696373360571244,0.4202497905437918,2.5585741822295676
mlm_topk32,random,decrease,random_control,varentropy_efficiency_mean,1.287636557512321,0.5860873961673423,0.7015491613449787,2.197004347700849
mlm_topk32,random,decrease,grad_orthogonal_control,entropy_efficiency_mean,0.6898871266009162,0.02419584805644515,0.6656912785444711,28.512624355695937
mlm_topk32,random,decrease,grad_orthogonal_control,varentropy_efficiency_mean,1.287636557512321,0.1478539071805719,1.1397826503317492,8.708843628594465
mlm_topk32,random,increase,random_control,entropy_efficiency_mean,0.6646794379836511,0.25191712835830576,0.4127623096253454,2.6384844981174402
mlm_topk32,random,increase,random_control,varentropy_efficiency_mean,1.2694371697876163,0.5749616966695106,0.6944754731181058,2.2078638927443057
mlm_topk32,random,increase,grad_orthogonal_control,entropy_efficiency_mean,0.6646794379836511,0.024259085669226212,0.640420352314425,27.399195791901924
mlm_topk32,random,increase,grad_orthogonal_control,varentropy_efficiency_mean,1.2694371697876163,0.14866656084486835,1.120770608942748,8.538821121397016
mlm_topk32,state_pca,decrease,random_control,entropy_efficiency_mean,0.7008270377331682,0.2869656051974786,0.41386143253568963,2.4421987340639175
mlm_topk32,state_pca,decrease,random_control,varentropy_efficiency_mean,1.2783500410658433,0.5720712821934236,0.7062787588724196,2.2345992201608524
mlm_topk32,state_pca,decrease,grad_orthogonal_control,entropy_efficiency_mean,0.7008270377331682,0.0221900860660347,0.6786369516671336,31.58288956823338
mlm_topk32,state_pca,decrease,grad_orthogonal_control,varentropy_efficiency_mean,1.2783500410658433,0.18495634008040823,1.093393700985435,6.911631363975364
mlm_topk32,state_pca,increase,random_control,entropy_efficiency_mean,0.6892958559047433,0.26692861230841264,0.42236724359633065,2.582322853828507
mlm_topk32,state_pca,increase,random_control,varentropy_efficiency_mean,1.2760850034864484,0.5558934690051773,0.720191534481271,2.295556747176973
mlm_topk32,state_pca,increase,grad_orthogonal_control,entropy_efficiency_mean,0.6892958559047433,0.022543661816250057,0.6667521940884933,30.576037802690998
mlm_topk32,state_pca,increase,grad_orthogonal_control,varentropy_efficiency_mean,1.2760850034864484,0.20062909666606163,1.0754559068203868,6.360418427295399
