domain,target_review_cost,contrast,metric,rho,control,delta_rho_minus_control
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,reviewed_error_rate,0.08256880733944955,0.13149847094801223,-0.048929663608562685
medical_breast_cancer,0.19,rho_fixed_review_vs_gradient_fixed_review,deferred_error_capture,0.5510204081632653,0.8775510204081632,-0.326530612244898
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,review_cost,0.19156414762741653,0.19156414762741653,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,coverage,0.8084358523725835,0.8084358523725835,0.0
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,automatic_accuracy,0.9840579710144928,0.9971014492753624,-0.013043478260869601
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,error_on_non_deferred,0.015942028985507246,0.002898550724637681,0.013043478260869565
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,safe_decision_rate,0.987111892208553,0.9976567076742824,-0.010544815465729385
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,reviewed_error_rate,0.08256880733944955,0.13761467889908258,-0.05504587155963303
medical_breast_cancer,0.19,rho_fixed_review_vs_jacobian_fixed_review,deferred_error_capture,0.5510204081632653,0.9183673469387755,-0.3673469387755103
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,review_cost,0.16972732331663884,0.16972732331663884,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,coverage,0.8302726766833611,0.8302726766833611,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,automatic_accuracy,0.9964253798033958,0.9968722073279714,-0.00044682752457558816
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,error_on_non_deferred,0.0035746201966041107,0.003127792672028597,0.00044682752457551357
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,safe_decision_rate,0.9970320905212391,0.9974030792060842,-0.00037098868484508607
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,reviewed_error_rate,0.15300546448087432,0.1551912568306011,-0.0021857923497267673
vision_digits_perception,0.17,rho_fixed_review_vs_entropy_fixed_review,deferred_error_capture,0.8974358974358975,0.9102564102564102,-0.012820512820512775
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,review_cost,0.16972732331663884,0.16972732331663884,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,coverage,0.8302726766833611,0.8302726766833611,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,automatic_accuracy,0.9964253798033958,0.9968722073279714,-0.00044682752457558816
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,error_on_non_deferred,0.0035746201966041107,0.003127792672028597,0.00044682752457551357
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,safe_decision_rate,0.9970320905212391,0.9974030792060842,-0.00037098868484508607
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,reviewed_error_rate,0.15300546448087432,0.1551912568306011,-0.0021857923497267673
vision_digits_perception,0.17,rho_fixed_review_vs_gradient_fixed_review,deferred_error_capture,0.8974358974358975,0.9102564102564102,-0.012820512820512775
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,review_cost,0.16972732331663884,0.16972732331663884,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,coverage,0.8302726766833611,0.8302726766833611,0.0
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,automatic_accuracy,0.9964253798033958,0.9787756925826631,0.01764968722073279
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,error_on_non_deferred,0.0035746201966041107,0.02122430741733691,-0.017649687220732797
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,safe_decision_rate,0.9970320905212391,0.9823780374698572,0.014654053051381899
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,reviewed_error_rate,0.15300546448087432,0.06666666666666667,0.08633879781420765
vision_digits_perception,0.17,rho_fixed_review_vs_jacobian_fixed_review,deferred_error_capture,0.8974358974358975,0.391025641025641,0.5064102564102564
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,review_cost,0.18920422927100725,0.18920422927100725,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,coverage,0.8107957707289928,0.8107957707289928,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,automatic_accuracy,0.9963395104095173,0.9967970716083276,-0.0004575611988103523
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,error_on_non_deferred,0.0036604895904827272,0.003202928391672386,0.000457561198810341
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,safe_decision_rate,0.9970320905212391,0.9974030792060842,-0.00037098868484508607
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,reviewed_error_rate,0.13725490196078433,0.1392156862745098,-0.0019607843137254832
vision_digits_perception,0.19,rho_fixed_review_vs_entropy_fixed_review,deferred_error_capture,0.8974358974358975,0.9102564102564102,-0.012820512820512775
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,review_cost,0.18920422927100725,0.18920422927100725,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,coverage,0.8107957707289928,0.8107957707289928,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,automatic_accuracy,0.9963395104095173,0.9967970716083276,-0.0004575611988103523
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,error_on_non_deferred,0.0036604895904827272,0.003202928391672386,0.000457561198810341
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,safe_decision_rate,0.9970320905212391,0.9974030792060842,-0.00037098868484508607
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,reviewed_error_rate,0.13725490196078433,0.1392156862745098,-0.0019607843137254832
vision_digits_perception,0.19,rho_fixed_review_vs_gradient_fixed_review,deferred_error_capture,0.8974358974358975,0.9102564102564102,-0.012820512820512775
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,review_cost,0.18920422927100725,0.18920422927100725,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,coverage,0.8107957707289928,0.8107957707289928,0.0
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,automatic_accuracy,0.9963395104095173,0.9803248684511553,0.016014641958361997
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,error_on_non_deferred,0.0036604895904827272,0.01967513154884466,-0.01601464195836193
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,safe_decision_rate,0.9970320905212391,0.9840474865516602,0.0129846039695789
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,reviewed_error_rate,0.13725490196078433,0.06862745098039216,0.06862745098039216
vision_digits_perception,0.19,rho_fixed_review_vs_jacobian_fixed_review,deferred_error_capture,0.8974358974358975,0.44871794871794873,0.44871794871794873
